學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
112,私立,一般大學,1014,義守大學,學士班(日間),巴拿馬共和國,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),巴勒斯坦,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),日本,其他亞洲地區,114,41,73,113,40,73,1,1,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),加拿大,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),史瓦帝尼王國,非洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),印度尼西亞共和國,東協,223,97,126,188,83,105,35,14,21,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),西班牙王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),宏都拉斯共和國,中南美洲,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),貝里斯,中南美洲,22,8,14,22,8,14,0,0,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),美國,北美洲,5,3,2,4,2,2,1,1,0,0,0,0,0,0,0
112,私立,一般大學,1014,義守大學,學士班(日間),香港,港澳,334,190,144,0,0,0,0,0,0,334,190,144,0,0,0
