學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),5,4,1,2.03
111,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),36,13,23,7.98
111,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,8,4,4,14.55
111,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),52,29,23,39.69
111,公立,一般大學,0001,國立政治大學,04131091,創新國際學院學士班,學士班(日間),56,21,35,48.70
111,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),1,0,1,1.01
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),9,2,7,2.27
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),2,2,0,1.65
111,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),4,1,3,1.59
111,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),2,1,1,1.21
111,公立,一般大學,0001,國立政治大學,04212073,法律學系,碩士班(日間),2,0,2,0.82
111,公立,一般大學,0001,國立政治大學,04212073,法律學系,博士班,1,1,0,2.50
111,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),1,1,0,0.55
111,公立,一般大學,0001,國立政治大學,05421079,統計學系,博士班,1,0,1,16.67
111,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),1,1,0,0.91
111,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,博士班,2,1,1,4.08
111,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),9,6,3,3.81
111,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),1,1,0,0.60
111,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,10,8,2,66.67
111,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),1,0,1,1.85
111,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,1,0,1,1.59
111,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),1,0,1,0.62
111,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),2,1,1,2.63
111,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),1,0,1,0.57
111,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),1,0,1,2.78
111,公立,一般大學,0002,國立清華大學,01141127,運動科學系,學士班(日間),1,1,0,0.51
111,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),1,0,1,0.32
111,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),2,1,1,4.44
111,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,1,1,0,16.67
111,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),1,0,1,3.03
111,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),1,1,0,11.11
111,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),1,0,1,0.28
111,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),3,0,3,1.60
111,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),1,0,1,3.23
111,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,1,0,1,5.26
111,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,博士班,1,0,1,4.55
111,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),2,0,2,0.95
111,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),7,2,5,7.45
111,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,6,3,3,10.34
111,公立,一般大學,0002,國立清華大學,02323114,華文文學研究所,碩士班(日間),1,1,0,2.04
111,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),4,2,2,10.53
111,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,9,6,3,52.94
111,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),14,9,5,2.86
111,公立,一般大學,0002,國立清華大學,03121139,台北政經學院政治經濟碩士班,碩士班(日間),12,9,3,85.71
111,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),2,0,2,1.08
111,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),6,3,3,3.95
111,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),1,0,1,1.09
111,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,1,1,0,6.67
111,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),52,25,27,74.29
