學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),1,0,1,0.46
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),2,2,0,6.90
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,5,2,3,4.85
114,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),3,2,1,11.11
114,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,4,2,2,20.00
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),2,1,1,1.11
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,1,1,0,3.57
114,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),2,1,1,4.65
114,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,2,2,0,10.53
114,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),6,2,4,3.33
114,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),1,1,0,4.76
114,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,2,2,0,16.67
114,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),4,4,0,2.03
114,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,6,3,3,21.43
114,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),10,2,8,3.61
114,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),2,1,1,3.57
114,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),2,0,2,1.18
114,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),1,0,1,4.35
114,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),1,0,1,0.62
114,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),1,0,1,0.91
114,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,3,3,0,21.43
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),3,0,3,0.88
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),1,1,0,1.39
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,4,1,3,9.30
114,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,3,0,3,21.43
114,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),5,2,3,8.93
114,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),1,1,0,2.78
114,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),7,4,3,1.83
114,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),31,10,21,72.09
114,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),1,0,1,0.41
114,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),1,1,0,1.72
114,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),9,2,7,3.27
114,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),6,3,3,7.32
114,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,2,2,0,25.00
114,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),42,20,22,84.00
114,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),2,0,2,0.94
114,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),2,1,1,3.77
114,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),7,3,4,11.29
114,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,9,6,3,29.03
114,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),1,0,1,2.86
114,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,62,30,32,89.86
114,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),68,34,34,88.31
114,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),1,0,1,0.20
114,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),2,1,1,3.92
114,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,3,1,2,7.32
114,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),3,1,2,1.51
114,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),25,6,19,45.45
114,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),8,1,7,3.69
114,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),9,0,9,2.33
114,公立,一般大學,0001,國立政治大學,03211056,傳播學院博士班,博士班,1,1,0,2.17
114,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),2,0,2,2.08
114,公立,一般大學,0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,碩士班(日間),23,10,13,27.38
114,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,博士班,1,1,0,8.33
114,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,3,2,1,23.08
114,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),5,0,5,1.98
114,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,1,0,1,5.56
114,公立,一般大學,0001,國立政治大學,04121097,國際金融碩士學位學程,碩士班(日間),1,1,0,0.36
114,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),1,1,0,0.45
114,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),3,1,2,1.20
114,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),30,12,18,6.68
114,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,7,3,4,14.58
114,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),35,20,15,31.82
114,公立,一般大學,0001,國立政治大學,04131091,創新國際學院學士班,學士班(日間),71,23,48,36.22
