學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),6,3,3,2.71
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),5,2,3,14.71
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,6,2,4,6.38
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),4,3,1,13.33
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,3,2,1,13.04
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),1,1,0,0.56
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,2,1,1,8.00
113,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),4,3,1,7.02
113,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,1,1,0,5.00
113,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),5,2,3,2.69
113,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),1,1,0,5.56
113,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,3,3,0,21.43
113,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),2,2,0,0.98
113,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,6,3,3,22.22
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),8,1,7,2.83
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),3,1,2,1.85
113,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),2,1,1,1.19
113,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),1,0,1,0.65
113,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),2,1,1,1.74
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,3,3,0,23.08
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),3,0,3,0.88
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),2,2,0,2.44
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,4,1,3,8.51
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,1,0,1,8.33
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),5,2,3,7.81
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),1,1,0,2.78
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),7,3,4,1.77
113,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),23,8,15,57.50
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),2,0,2,0.85
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),1,1,0,1.67
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,2,1,1,12.50
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),12,2,10,4.44
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),5,3,2,6.17
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,2,2,0,28.57
113,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),43,26,17,76.79
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),2,1,1,0.89
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),2,1,1,2.04
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),2,1,1,1.12
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),2,0,2,3.17
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),3,1,2,4.69
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,10,6,4,27.78
113,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),2,1,1,6.06
113,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,71,37,34,89.87
113,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),77,38,39,90.59
113,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),1,0,1,0.20
113,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),2,0,2,3.17
113,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,4,2,2,10.26
113,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),5,2,3,2.31
113,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),30,7,23,50.85
113,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),14,0,14,3.38
113,公立,一般大學,0001,國立政治大學,03211056,傳播學院博士班,博士班,2,2,0,4.00
113,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),6,0,6,2.83
113,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),3,1,2,3.26
113,公立,一般大學,0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,碩士班(日間),24,7,17,27.59
