學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
112,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(進修),604,515,85.26
112,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,二專(進修),173,142,82.08
112,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,五專,125,103,82.40
112,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(日間),1246,1008,80.90
112,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(進修),437,336,76.89
112,私立,技專校院,1072,大華學校財團法人敏實科技大學,五專,25,19,76.00
112,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(日間),65,49,75.38
112,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(進修),29,21,72.41
112,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,二專(進修),42,35,83.33
112,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,五專,29,24,82.76
112,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(日間),893,690,77.27
112,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(進修),370,228,61.62
112,私立,技專校院,1075,文藻學校財團法人文藻外語大學,五專,416,403,96.88
112,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(日間),911,747,82.00
112,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(進修),200,131,65.50
112,私立,技專校院,1076,華夏學校財團法人華夏科技大學,二專(進修),17,8,47.06
112,私立,技專校院,1076,華夏學校財團法人華夏科技大學,五專,71,59,83.10
112,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(日間),138,109,78.99
112,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(進修),328,259,78.96
112,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,五專,249,231,92.77
112,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(日間),353,317,89.80
112,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(進修),87,46,52.87
112,私立,技專校院,1078,致理學校財團法人致理科技大學,五專,329,310,94.22
112,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(日間),1560,1434,91.92
112,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(進修),640,486,75.94
112,私立,一般大學,1079,康寧學校財團法人康寧大學,二專(進修),89,79,88.76
112,私立,一般大學,1079,康寧學校財團法人康寧大學,五專,560,520,92.86
112,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(日間),30,27,90.00
112,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(進修),95,90,94.74
112,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,五專,240,206,85.83
112,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(日間),308,238,77.27
112,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(進修),609,464,76.19
112,私立,技專校院,1081,東方學校財團法人東方設計大學,二專(進修),11,3,27.27
112,私立,技專校院,1081,東方學校財團法人東方設計大學,五專,22,8,36.36
112,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(日間),14,3,21.43
112,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(進修),38,30,78.95
112,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,學士班(日間),288,113,39.24
112,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(日間),10,9,90.00
112,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(進修),77,70,90.91
112,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,五專,122,107,87.70
112,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(日間),577,450,77.99
112,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(進修),422,347,82.23
112,私立,技專校院,1084,亞東學校財團法人亞東科技大學,學士班(日間),833,735,88.24
112,私立,技專校院,1084,亞東學校財團法人亞東科技大學,學士班(進修),48,46,95.83
