學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0006,國立中興大學,碩士在職專班,男,1143,83,12,3,0,0,0,0,5,4,71,9,0,42,20,0
112,1,公立,一般大學,0006,國立中興大學,博士班,男,652,32,1,0,0,0,0,0,1,0,31,8,0,14,9,0
112,1,公立,一般大學,0006,國立中興大學,學士班(日間),女,3557,94,50,50,0,0,0,0,0,0,44,2,0,8,34,0
112,1,公立,一般大學,0006,國立中興大學,學士班(進修),女,459,26,12,9,0,0,1,0,0,2,14,2,0,4,8,0
112,1,公立,一般大學,0006,國立中興大學,碩士班(日間),女,1555,61,19,6,0,0,1,0,11,1,42,3,0,7,32,0
112,1,公立,一般大學,0006,國立中興大學,碩士在職專班,女,651,25,3,1,0,0,0,1,1,0,22,2,0,5,15,0
112,1,公立,一般大學,0006,國立中興大學,博士班,女,348,12,5,1,0,0,0,0,3,1,7,1,0,3,3,0
112,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),男,5528,124,64,64,0,0,0,0,0,0,60,1,0,58,1,0
112,1,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),男,5150,99,24,22,0,0,0,1,1,0,75,7,0,65,3,0
112,1,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,男,1210,54,9,5,0,1,0,0,3,0,45,3,0,42,0,0
112,1,公立,一般大學,0007,國立陽明交通大學,博士班,男,1772,71,14,8,0,0,0,0,6,0,57,10,0,44,3,0
112,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),女,3084,65,35,34,0,1,0,0,0,0,30,0,0,30,0,0
112,1,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),女,3125,68,13,10,0,1,1,0,1,0,55,2,0,51,2,0
112,1,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,女,727,23,2,0,0,1,1,0,0,0,21,5,0,16,0,0
112,1,公立,一般大學,0007,國立陽明交通大學,博士班,女,832,31,6,4,0,0,1,0,1,0,25,2,0,22,1,0
112,1,公立,一般大學,0008,國立中央大學,學士班(日間),男,3852,101,26,26,0,0,0,0,0,0,75,17,0,5,53,0
112,1,公立,一般大學,0008,國立中央大學,碩士班(日間),男,2490,67,13,9,0,0,0,0,4,0,54,2,0,5,47,0
112,1,公立,一般大學,0008,國立中央大學,碩士在職專班,男,919,40,5,1,0,1,0,0,3,0,35,3,0,11,21,0
112,1,公立,一般大學,0008,國立中央大學,博士班,男,637,37,10,3,0,1,1,0,5,0,27,4,0,8,15,0
112,1,公立,一般大學,0008,國立中央大學,學士班(日間),女,2422,55,22,22,0,0,0,0,0,0,33,3,0,2,28,0
112,1,公立,一般大學,0008,國立中央大學,碩士班(日間),女,1280,37,7,6,0,0,0,0,1,0,30,1,0,3,26,0
