學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
106,公立,一般大學,0018,國立嘉義大學,02131025,視覺藝術學系教學碩士學位班,碩士在職專班,女,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02151024,音樂學系,學士班(日間),男,69,4,0,0,0,0,2,0,0,1,1,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02151024,音樂學系,碩士班(日間),男,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02151024,音樂學系,學士班(日間),女,140,5,1,0,1,0,1,0,0,0,1,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02151024,音樂學系,碩士班(日間),女,26,8,1,0,0,0,7,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02221033,應用歷史學系,學士班(日間),男,133,6,0,0,0,5,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02221033,應用歷史學系,碩士班(日間),男,15,4,0,0,0,0,2,0,0,1,0,1,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02221033,應用歷史學系,碩士在職專班,男,12,4,0,0,0,0,3,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02221033,應用歷史學系,學士班(日間),女,68,4,1,0,1,1,0,1,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02221033,應用歷史學系,碩士班(日間),女,8,7,0,0,0,0,0,0,2,0,0,4,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02221033,應用歷史學系,碩士在職專班,女,14,2,0,0,0,0,0,1,1,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,學士班(日間),男,108,6,2,0,1,1,0,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,學士班(進修),男,17,2,0,0,0,0,2,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,碩士班(日間),男,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,學士班(日間),女,303,11,2,0,1,5,1,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,學士班(進修),女,55,4,1,0,1,0,2,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,碩士班(日間),女,28,9,0,0,0,0,1,1,0,0,0,2,0,0,0,...,5
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,學士班(日間),男,84,4,1,0,0,1,1,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,學士班(進修),男,47,6,1,0,0,0,1,0,0,1,0,0,0,0,0,...,3
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,碩士班(日間),男,13,3,0,0,0,0,2,0,0,1,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,碩士在職專班,男,11,8,0,0,0,0,5,0,1,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,學士班(日間),女,135,2,0,0,0,1,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,學士班(進修),女,76,4,0,0,1,0,1,0,0,0,0,1,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,碩士班(日間),女,30,9,2,0,0,0,4,0,1,0,0,1,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,02322029,中國文學系,碩士在職專班,女,32,13,0,0,0,0,9,0,2,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,03111034,應用經濟學系,學士班(日間),男,99,4,0,0,0,2,0,0,0,0,1,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,03111034,應用經濟學系,碩士班(日間),男,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,03111034,應用經濟學系,學士班(日間),女,96,3,1,0,1,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,03111034,應用經濟學系,碩士班(日間),女,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,03131035,輔導與諮商學系,學士班(日間),男,52,3,1,0,0,1,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,03131035,輔導與諮商學系,碩士班(日間),男,24,4,1,0,0,0,3,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,03131035,輔導與諮商學系,碩士在職專班,男,24,6,2,0,0,0,3,0,0,0,0,1,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,03131035,輔導與諮商學系,學士班(日間),女,161,3,0,0,2,0,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,03131035,輔導與諮商學系,碩士班(日間),女,91,22,2,0,0,0,11,2,2,0,0,3,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,03131035,輔導與諮商學系,碩士在職專班,女,129,37,6,0,0,0,15,3,7,0,0,0,0,0,0,...,6
106,公立,一般大學,0018,國立嘉義大學,04121041,財務金融學系,學士班(日間),男,77,1,0,0,1,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04121041,財務金融學系,學士班(進修),男,89,12,1,0,1,0,0,0,0,3,1,0,0,0,0,...,6
106,公立,一般大學,0018,國立嘉義大學,04121041,財務金融學系,學士班(日間),女,108,2,1,0,0,0,0,0,0,0,1,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04121041,財務金融學系,學士班(進修),女,99,7,1,1,0,0,1,0,2,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,學士班(日間),男,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,...,3
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,學士班(進修),男,91,8,0,2,0,1,2,0,0,1,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,碩士班(日間),男,20,5,0,1,1,0,0,0,0,1,0,1,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,博士班,男,14,5,0,0,0,0,5,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,學士班(日間),女,111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,學士班(進修),女,106,9,1,2,1,0,0,0,1,0,0,0,0,0,0,...,4
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,碩士班(日間),女,26,5,0,0,0,0,1,0,0,0,1,1,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,04131038,企業管理學系,博士班,女,13,3,1,0,0,0,1,0,0,0,0,1,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04134036,公共政策研究所,碩士班(日間),男,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04134036,公共政策研究所,碩士班(日間),女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04143044,行銷與觀光管理學系,學士班(日間),男,71,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04143044,行銷與觀光管理學系,學士班(日間),女,132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04143044,行銷與觀光管理學系行銷管理碩士班,碩士班(日間),男,11,6,0,0,0,0,0,0,0,4,0,1,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,04143044,行銷與觀光管理學系行銷管理碩士班,碩士班(日間),女,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,04143044,行銷與觀光管理學系觀光休閒管理碩士班,碩士班(日間),男,7,6,0,1,0,0,0,0,0,1,0,1,0,0,0,...,3
106,公立,一般大學,0018,國立嘉義大學,04143044,行銷與觀光管理學系觀光休閒管理碩士班,碩士班(日間),女,19,8,0,3,1,0,1,0,0,0,1,1,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,04199045,生物事業管理學系,學士班(日間),男,75,5,2,0,1,1,0,0,0,1,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04199045,生物事業管理學系,學士班(進修),男,82,8,0,1,1,0,0,0,0,2,0,0,0,0,0,...,4
106,公立,一般大學,0018,國立嘉義大學,04199045,生物事業管理學系,碩士班(日間),男,7,3,0,0,0,0,1,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,04199045,生物事業管理學系,學士班(日間),女,111,3,1,0,0,1,0,0,0,0,1,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04199045,生物事業管理學系,學士班(進修),女,64,7,0,1,2,0,1,0,0,0,0,0,0,0,0,...,3
106,公立,一般大學,0018,國立嘉義大學,04199045,生物事業管理學系,碩士班(日間),女,6,2,0,0,0,0,1,0,0,0,0,1,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,04199046,管理學院碩士在職專班,碩士在職專班,男,121,25,0,0,1,0,8,0,0,0,0,0,0,0,0,...,16
106,公立,一般大學,0018,國立嘉義大學,04199046,管理學院碩士在職專班,碩士在職專班,女,131,21,6,0,0,0,3,0,3,0,0,0,0,0,0,...,9
106,公立,一般大學,0018,國立嘉義大學,05111047,水生生物科學系,學士班(日間),男,118,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05111047,水生生物科學系,碩士班(日間),男,15,7,0,1,2,0,1,0,0,2,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05111047,水生生物科學系,學士班(日間),女,70,4,0,0,0,2,0,0,0,0,1,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05111047,水生生物科學系,碩士班(日間),女,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05111048,生命科學全英文碩士學位學程,碩士班(日間),女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05111052,生物資源學系,學士班(日間),男,102,4,1,0,0,1,0,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05111052,生物資源學系,碩士班(日間),男,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05111052,生物資源學系,學士班(日間),女,84,2,0,0,1,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05111052,生物資源學系,碩士班(日間),女,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05121053,生化科技學系,學士班(日間),男,106,5,0,0,1,1,0,0,0,1,1,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05121053,生化科技學系,碩士班(日間),男,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05121053,生化科技學系,碩士在職專班,男,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05121053,生化科技學系,學士班(日間),女,87,2,1,0,0,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05121053,生化科技學系,碩士班(日間),女,9,6,1,2,1,1,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05121053,生化科技學系,碩士在職專班,女,10,2,0,1,0,0,0,1,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05199058,微生物免疫與生物藥學系,學士班(日間),男,91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05199058,微生物免疫與生物藥學系,碩士班(日間),男,11,4,2,0,0,0,1,0,0,1,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05199058,微生物免疫與生物藥學系,學士班(日間),女,101,3,0,0,1,2,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05199058,微生物免疫與生物藥學系,碩士班(日間),女,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,學士班(日間),男,123,4,0,0,1,0,1,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,碩士班(日間),男,22,4,0,1,1,0,0,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,博士班,男,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,學士班(日間),女,77,5,0,1,1,2,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,碩士班(日間),女,14,2,0,0,0,1,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,博士班,女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05331061,電子物理學系,學士班(日間),男,159,6,0,0,0,2,0,0,0,1,1,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,05331061,電子物理學系,學士班(日間),女,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05331061,電子物理學系光電暨固態電子碩士班,碩士班(日間),男,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05331061,電子物理學系光電暨固態電子碩士班,碩士班(日間),女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05411062,應用數學系,學士班(日間),男,134,8,0,0,1,4,1,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,05411062,應用數學系,碩士班(日間),男,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05411062,應用數學系,學士班(日間),女,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,05411062,應用數學系,碩士班(日間),女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,06131063,資訊管理學系,學士班(日間),男,138,6,0,0,1,1,0,0,0,1,1,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,06131063,資訊管理學系,碩士班(日間),男,19,3,0,1,0,0,1,0,0,1,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,06131063,資訊管理學系,學士班(日間),女,63,2,0,0,0,1,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,06131063,資訊管理學系,碩士班(日間),女,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,學士班(日間),男,170,9,0,0,4,2,0,0,0,1,1,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,學士班(進修),男,3,4,0,0,0,0,2,0,0,2,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,碩士班(日間),男,51,8,1,0,0,0,2,0,0,1,1,3,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,博士班,男,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,學士班(日間),女,36,3,0,0,0,3,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,學士班(進修),女,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,碩士班(日間),女,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,博士班,女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07141064,電機工程學系,學士班(日間),男,180,3,0,0,0,3,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07141064,電機工程學系,碩士班(日間),男,16,4,0,0,1,0,0,0,0,3,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07141064,電機工程學系,學士班(日間),女,15,3,0,0,0,3,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07141064,電機工程學系,碩士班(日間),女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,學士班(日間),男,158,4,0,1,0,1,0,0,0,0,1,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,學士班(進修),男,168,20,0,0,3,2,13,0,0,2,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,碩士班(日間),男,20,3,0,0,0,1,1,0,0,0,0,1,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,碩士在職專班,男,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,學士班(日間),女,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,學士班(進修),女,10,4,0,1,1,1,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,碩士班(日間),女,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,07151067,生物機電工程學系,碩士在職專班,女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151069,機械與能源工程學系,學士班(日間),男,175,3,0,0,1,0,1,0,0,0,1,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07151069,機械與能源工程學系,學士班(日間),女,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(日間),男,85,3,0,1,0,2,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(進修),男,94,9,0,0,1,0,5,0,0,1,0,1,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,碩士班(日間),男,21,3,2,0,0,0,0,0,0,1,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,碩士在職專班,男,28,6,0,2,0,0,3,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,博士班,男,15,4,1,0,0,0,2,0,0,1,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(日間),女,115,2,0,0,0,1,0,0,0,0,1,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(進修),女,94,8,1,0,1,0,3,1,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,碩士班(日間),女,38,2,0,0,1,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,碩士在職專班,女,31,8,0,4,0,0,2,0,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,博士班,女,11,4,0,0,0,0,1,0,0,0,0,1,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,07312072,景觀學系,學士班(日間),男,74,6,0,0,2,4,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07312072,景觀學系,碩士班(日間),男,9,2,0,0,1,0,1,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07312072,景觀學系,學士班(日間),女,105,10,1,0,3,5,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07312072,景觀學系,碩士班(日間),女,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,學士班(日間),男,181,7,0,0,0,4,0,0,0,0,1,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,學士班(進修),男,105,29,1,1,5,1,17,0,0,2,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,碩士班(日間),男,19,6,0,1,0,0,0,0,0,3,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,碩士在職專班,男,30,7,0,0,0,0,3,0,0,0,0,2,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,學士班(日間),女,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,學士班(進修),女,23,3,0,0,1,0,1,1,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,碩士班(日間),女,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,碩士在職專班,女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,學士班(日間),男,110,6,1,0,1,1,0,0,0,0,1,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,碩士班(日間),男,16,7,0,1,0,0,1,0,0,3,0,2,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,碩士在職專班,男,46,10,0,0,0,0,4,0,0,0,0,5,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,學士班(日間),女,83,4,1,0,2,1,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,碩士班(日間),女,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,碩士在職專班,女,17,4,0,1,0,0,1,1,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08111077,農業科學博士學位學程,博士班,男,29,14,0,0,0,0,11,0,0,0,0,2,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08111077,農業科學博士學位學程,博士班,女,12,6,0,0,0,0,1,0,0,0,0,4,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,學士班(日間),男,83,4,0,0,1,1,0,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,學士班(進修),男,97,12,1,1,1,0,5,0,0,1,0,0,0,0,0,...,3
106,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,碩士班(日間),男,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,學士班(日間),女,108,8,0,0,1,4,0,0,0,0,2,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,學士班(進修),女,83,7,0,2,2,1,2,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,碩士班(日間),女,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,學士班(日間),男,101,2,0,0,0,2,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,學士班(進修),男,124,22,1,1,3,2,7,0,0,4,0,0,0,0,0,...,4
106,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,碩士班(日間),男,19,7,0,0,2,0,3,0,0,1,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,學士班(日間),女,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,學士班(進修),女,87,9,0,2,0,0,2,1,0,0,0,0,0,0,0,...,4
106,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,碩士班(日間),女,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,...,3
106,公立,一般大學,0018,國立嘉義大學,08192092,生物農業科技學系,學士班(日間),男,112,4,0,1,0,0,0,0,0,2,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08192092,生物農業科技學系,碩士班(日間),男,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08192092,生物農業科技學系,學士班(日間),女,73,2,0,0,0,2,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08192092,生物農業科技學系,碩士班(日間),女,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,08192094,農學院農業科技全英碩士學位學程,碩士班(日間),男,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08192094,農學院農業科技全英碩士學位學程,碩士班(日間),女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08194084,植物醫學系,學士班(日間),男,83,4,0,0,1,2,0,0,0,0,0,0,0,0,0,...,1
106,公立,一般大學,0018,國立嘉義大學,08194084,植物醫學系,學士班(日間),女,73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,...,2
106,公立,一般大學,0018,國立嘉義大學,08199076,農場管理進修學士學位學程,學士班(進修),男,88,1,1,0,0,0,0,0,0,0,0,0,0,0,0,...,0
106,公立,一般大學,0018,國立嘉義大學,08199076,農場管理進修學士學位學程,學士班(進修),女,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
