學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),男,26,9,0,1,2,2,0,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,男,23,6,0,0,3,0,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),女,89,5,0,1,0,0,0,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),女,14,3,0,1,1,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,女,11,3,0,0,0,0,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),男,85,5,0,0,0,2,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),男,17,4,0,0,1,0,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,男,5,4,0,0,0,0,2,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),女,224,6,1,0,1,2,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),女,45,18,0,0,3,5,7,0,1,...,...,...,...,...,...,...,2
