學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
105,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),男,3849,45,8,0,10,0,0,0,0,0,...,...,14
105,1,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),男,3752,47,2,0,0,0,0,0,0,0,...,...,7
105,1,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,男,1029,60,5,0,0,0,0,0,0,0,...,...,11
105,1,公立,一般大學,0007,國立陽明交通大學,博士班,男,1425,68,10,0,0,0,0,0,0,0,...,...,15
105,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),女,1629,22,0,0,7,0,0,0,0,0,...,...,6
105,1,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),女,1645,41,0,0,1,0,0,0,0,0,...,...,9
105,1,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,女,434,12,2,0,0,0,0,0,0,0,...,...,2
105,1,公立,一般大學,0007,國立陽明交通大學,博士班,女,320,17,3,0,0,0,0,0,0,1,...,...,3
105,1,公立,一般大學,0008,國立中央大學,學士班(日間),男,3902,99,25,0,30,38,0,0,0,0,...,...,2
105,1,公立,一般大學,0008,國立中央大學,碩士班(日間),男,2315,61,2,0,8,39,0,0,0,0,...,...,5
105,1,公立,一般大學,0008,國立中央大學,碩士在職專班,男,856,45,1,0,1,17,0,0,0,0,...,...,5
105,1,公立,一般大學,0008,國立中央大學,博士班,男,798,48,1,0,4,35,0,0,0,1,...,...,0
105,1,公立,一般大學,0008,國立中央大學,學士班(日間),女,2205,28,1,0,10,15,0,0,0,0,...,...,0
105,1,公立,一般大學,0008,國立中央大學,碩士班(日間),女,1123,25,0,0,5,16,0,0,0,0,...,...,1
105,1,公立,一般大學,0008,國立中央大學,碩士在職專班,女,469,14,1,0,0,12,0,0,0,0,...,...,0
105,1,公立,一般大學,0008,國立中央大學,博士班,女,275,10,0,0,2,3,0,0,1,0,...,...,4
105,1,公立,一般大學,0009,國立中山大學,學士班(日間),男,2950,65,3,0,33,16,0,0,0,3,...,...,6
105,1,公立,一般大學,0009,國立中山大學,碩士班(日間),男,1838,76,3,0,10,32,0,0,0,9,...,...,11
105,1,公立,一般大學,0009,國立中山大學,碩士在職專班,男,475,30,0,0,1,15,0,0,0,4,...,...,0
105,1,公立,一般大學,0009,國立中山大學,博士班,男,588,26,1,0,0,7,0,0,0,2,...,...,4
105,1,公立,一般大學,0009,國立中山大學,學士班(日間),女,1806,24,1,0,11,7,0,0,0,0,...,...,4
105,1,公立,一般大學,0009,國立中山大學,碩士班(日間),女,1078,48,1,0,4,24,0,0,0,5,...,...,7
105,1,公立,一般大學,0009,國立中山大學,碩士在職專班,女,441,16,0,0,1,9,0,1,0,0,...,...,2
105,1,公立,一般大學,0009,國立中山大學,博士班,女,241,12,0,0,0,10,0,0,0,0,...,...,1
