學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0006,國立中興大學,碩士班(日間),男,2000,246,13,25,2,29,50,0,5,...,...,...,...,...,...,...,122
105,公立,一般大學,0006,國立中興大學,碩士在職專班,男,1038,271,8,9,0,2,124,0,55,...,...,...,...,...,...,...,73
105,公立,一般大學,0006,國立中興大學,博士班,男,739,218,14,19,1,2,55,0,21,...,...,...,...,...,...,...,106
105,公立,一般大學,0006,國立中興大學,學士班(日間),女,3297,77,9,3,2,30,2,0,1,...,...,...,...,...,...,...,30
105,公立,一般大學,0006,國立中興大學,學士班(進修),女,621,29,1,4,2,4,12,0,0,...,...,...,...,...,...,...,6
105,公立,一般大學,0006,國立中興大學,碩士班(日間),女,1322,169,10,13,0,9,61,1,8,...,...,...,...,...,...,...,67
105,公立,一般大學,0006,國立中興大學,碩士在職專班,女,503,102,11,3,0,0,32,4,24,...,...,...,...,...,...,...,28
105,公立,一般大學,0006,國立中興大學,博士班,女,289,83,3,7,0,2,11,2,22,...,...,...,...,...,...,...,36
105,公立,一般大學,0007,國立陽明交通大學,學士班(日間),男,3849,158,10,1,12,95,3,0,0,...,...,...,...,...,...,...,37
105,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),男,3752,215,9,11,3,55,59,0,2,...,...,...,...,...,...,...,76
105,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,男,1029,250,14,0,0,1,164,0,66,...,...,...,...,...,...,...,5
105,公立,一般大學,0007,國立陽明交通大學,博士班,男,1425,329,7,10,10,34,144,0,41,...,...,...,...,...,...,...,83
105,公立,一般大學,0007,國立陽明交通大學,學士班(日間),女,1629,62,3,2,2,42,2,0,0,...,...,...,...,...,...,...,11
105,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),女,1645,147,7,5,7,41,54,4,6,...,...,...,...,...,...,...,23
105,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,女,434,94,6,0,0,0,43,6,33,...,...,...,...,...,...,...,6
105,公立,一般大學,0007,國立陽明交通大學,博士班,女,320,95,7,2,2,7,31,8,20,...,...,...,...,...,...,...,18
105,公立,一般大學,0008,國立中央大學,學士班(日間),男,3902,151,8,1,33,63,11,0,0,...,...,...,...,...,...,...,35
105,公立,一般大學,0008,國立中央大學,碩士班(日間),男,2315,168,4,18,23,9,54,0,0,...,...,...,...,...,...,...,60
105,公立,一般大學,0008,國立中央大學,碩士在職專班,男,856,167,4,4,31,0,92,0,33,...,...,...,...,...,...,...,3
105,公立,一般大學,0008,國立中央大學,博士班,男,798,208,3,8,89,0,48,0,39,...,...,...,...,...,...,...,21
105,公立,一般大學,0008,國立中央大學,學士班(日間),女,2205,48,0,2,5,23,4,0,0,...,...,...,...,...,...,...,14
105,公立,一般大學,0008,國立中央大學,碩士班(日間),女,1123,100,6,6,19,4,40,1,3,...,...,...,...,...,...,...,21
