學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),2,0,2,9.52
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),1,0,1,3.23
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),1,1,0,1.30
106,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),9,4,5,31.03
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),3,3,0,4.05
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),10,4,6,14.29
106,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),3,1,2,7.69
106,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),2,0,2,5.88
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),40,22,18,71.43
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),4,3,1,5.80
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),2,1,1,2.50
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),5,2,3,1.83
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),64,37,27,43.24
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),1,0,1,0.78
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),2,1,1,1.77
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),1,0,1,1.89
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),1,1,0,0.54
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),7,1,6,2.05
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),1,1,0,0.36
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),2,0,2,0.58
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),1,1,0,0.29
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),4,2,2,1.96
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),3,2,1,2.13
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),10,7,3,2.17
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),1,0,1,0.53
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),2,2,0,0.69
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),8,7,1,1.38
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),4,3,1,1.71
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),1,0,1,0.25
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),2,2,0,0.45
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),10,5,5,3.66
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),2,2,0,1.06
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,3,2,1,18.75
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,1,1,0,4.76
