學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,55,35,20
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),56,24,32
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,31,22,9
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),69,35,34
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),80,25,55
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),13,3,10
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),240,68,172
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),49,8,41
106,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),171,52,119
106,公立,一般大學,0001,國立政治大學,03211056,傳播學院碩士在職專班,碩士在職專班,84,25,59
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),126,36,90
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,博士班,7,5,2
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,博士班,11,4,7
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),53,17,36
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,碩士在職專班,63,11,52
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),438,99,339
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院博士班,博士班,24,10,14
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),446,184,262
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,博士班,12,5,7
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),143,58,85
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),198,93,105
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,9,5,4
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),80,47,33
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),243,114,129
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,26,21,5
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),91,59,32
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),415,173,242
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,12,5,7
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),76,34,42
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),200,96,104
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,18,12,6
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),70,34,36
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),446,197,249
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,48,26,22
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),273,114,159
106,公立,一般大學,0001,國立政治大學,04131062,經營管理碩士學程,碩士在職專班,544,323,221
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),148,76,72
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),210,54,156
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,博士班,19,12,7
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),128,48,80
106,公立,一般大學,0001,國立政治大學,04134042,行政管理碩士學程,碩士在職專班,275,117,158
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),519,251,268
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,博士班,19,12,7
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士班(日間),70,34,36
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士在職專班,103,51,52
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),341,125,216
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,博士班,3,1,2
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),113,48,65
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),224,51,173
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,博士班,30,20,10
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),146,69,77
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),714,335,379
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,博士班,50,32,18
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,碩士班(日間),251,133,118
106,公立,一般大學,0001,國立政治大學,04211075,法學院碩士在職專班,碩士在職專班,262,135,127
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),103,50,53
106,公立,一般大學,0001,國立政治大學,05331077,應用物理研究所,碩士班(日間),10,8,2
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),185,149,36
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,博士班,5,3,2
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,碩士班(日間),43,33,10
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),213,134,79
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,博士班,3,2,1
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),63,44,19
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),334,202,132
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,博士班,58,46,12
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),84,52,32
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),206,165,41
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,博士班,12,11,1
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),109,89,20
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士在職專班,80,59,21
106,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,11,10,1
