學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),大陸地區來臺學位生小計,大陸地區來臺學位生男,大陸地區來臺學位生女,大陸地區來臺學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),7,5,2,10.14
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),1,0,1,1.25
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),4,0,4,7.55
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),1,0,1,1.32
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),3,1,2,1.10
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),3,1,2,2.34
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),6,3,3,5.31
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),8,3,5,5.48
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),4,2,2,6.35
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),2,1,1,2.38
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),6,3,3,11.32
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,碩士班(日間),1,0,1,10.00
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),3,0,3,5.08
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),1,0,1,0.52
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),2,2,0,0.35
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),1,0,1,0.37
106,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),4,1,3,3.74
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,9,3,6,13.64
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,5,2,3,8.33
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,2,0,2,12.50
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,4,3,1,19.05
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,9,3,6,25.71
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,2,1,1,3.85
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),3,2,1,0.88
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),4,2,2,1.93
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),3,2,1,2.63
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),1,1,0,0.22
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,3,3,0,12.50
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,4,2,2,26.67
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,1,1,0,7.14
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,1,1,0,1.56
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,2,1,1,1.90
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,2,2,0,1.31
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,1,1,0,1.25
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,3,3,0,5.88
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,1,1,0,5.00
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,2,1,1,2.20
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,2,1,1,3.70
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),3,1,2,2.65
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,1,0,1,1.64
106,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,2,2,0,9.09
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,1,0,1,1.39
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,3,3,0,3.06
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,1,1,0,2.00
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,2,0,2,6.45
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),2,0,2,5.71
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),1,0,1,5.00
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,碩士班(日間),4,3,1,5.19
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),2,0,2,2.86
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),2,1,1,5.13
106,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),3,0,3,50.00
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),3,0,3,5.17
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),8,2,6,17.02
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),2,0,2,2.00
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),10,5,5,13.16
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),1,0,1,1.72
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),8,7,1,12.50
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),9,5,4,8.33
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),1,1,0,1.69
106,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),1,1,0,4.00
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),1,1,0,3.03
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),4,3,1,5.97
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),1,1,0,1.92
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),5,1,4,10.20
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),1,1,0,5.88
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,碩士班(日間),1,0,1,1.47
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),15,4,11,19.23
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),1,0,1,1.75
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),2,2,0,4.35
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),11,4,7,20.37
106,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),9,1,8,18.00
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),2,0,2,3.77
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),1,1,0,0.56
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),3,2,1,2.05
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),5,4,1,1.42
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),7,7,0,6.42
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),1,1,0,0.40
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),9,6,3,2.48
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),2,1,1,1.45
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),7,4,3,3.65
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),4,4,0,3.45
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,碩士班(日間),1,1,0,3.57
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),1,1,0,1.75
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),1,0,1,0.29
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),1,0,1,0.64
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),1,1,0,0.52
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),3,1,2,2.54
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),4,4,0,1.42
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),1,0,1,0.54
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),1,0,1,0.17
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),1,0,1,0.34
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),1,0,1,0.34
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),1,0,1,0.12
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),2,2,0,1.19
106,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),1,0,1,0.79
106,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),1,1,0,0.36
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),1,0,1,0.30
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,1,0,1,2.04
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,1,1,0,1.92
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,博士班,3,1,2,6.67
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,博士班,1,0,1,7.69
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),1,0,1,0.38
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),1,0,1,0.18
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),1,0,1,0.13
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),1,0,1,0.26
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),2,0,2,0.96
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),1,0,1,0.48
106,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),2,1,1,1.12
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,博士班,1,0,1,3.70
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,博士班,3,3,0,4.48
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,博士班,1,1,0,5.26
