學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間/進修,學制班別,當學年度各學制總量內核定新生招生名額(A),當學年度各學制新生保留入學資格人數(B),當學年度各學制總量內新生招生核定名額之實際註冊人數(C),當學年度各學制境外(新生)學生實際註冊人數(D),當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,當學年度各學制招生特色說明
113,私立,技專校院,1065,吳鳳科技大學,進修,二專,126,0,92,0,73.02,"1因應產業需求開設課程,並依各產業性質調整其上課時段,以協助企業培養所需人才,提升其專業素養。 2.本校長期與陸軍部隊訓練南區聯合測考中心、空軍第四戰術戰鬥機聯隊、海洋委員會海巡署中部分署、憲兵第203指揮部、榮民服務處等單位進行策略聯盟,以協助國軍提升軍職人員之專業技能及培養其第二、三專長之養成,使軍職人員於退伍後,能與產業專業接軌。3.設有77間合格證照考場及電競館,以輔導證照考試/申請專利,培養專業人才。4.師資專業優良、提供優質學習環境與設備,提昇學生學習興趣。 5.聘請專業業界師資,達到學校學習與業界實作兼顧,可與職場接軌。6.學費以修課學分學時計費,修滿80學分即可取得副學士學位,學費較日間學制低廉,學費負擔較輕。 7.低收入戶學生,可申請住宿減免宿舍費用,以協助弱勢學生安心就學。8.設有二技學制,提供學生繼續升學管道,提升專業知識,以培養企業所需之專業人才。"
113,私立,技專校院,1065,吳鳳科技大學,進修,學士班(含四技),285,0,126,0,44.21,"1.位於省道旁,距民雄交流道僅5分車程,校內設有公車站,可搭乘嘉義縣客運直達,交通便利。2.白天上班晚上上課,兼顧實務工作經驗及薪資收入,提升未來發展與職場競爭力。3.學生可申請減免、就學貸款、申請住宿等。4.未服兵役者可辦理緩徵,服完兵役者可辦理儘後召集。5.高中生(含普高應屆畢業生)、高職生採免試申請入學,未參加統測亦可報名。6.設有77間合格證照考場及電競館,以輔導證照考試/申請專利,培養專業人才。7.聘請專業業界師資,學校學習與業界實作兼顧,可與職場接軌並提供優質學習環境與設備,提昇學生學習興趣。 8.學費以修課學分學時計費,修滿128學分即可取得學士學位,學費較日間學制低廉,學費負擔較輕。 9.低收入戶學生,可申請住宿減免宿舍費用,以協助弱勢學生安心就學。10.設有工程、消防、餐旅、數位科技類群研究所,提供學生繼續升學的管道,提升專業知識,以培養企業所需之專業研究人才。"
113,私立,技專校院,1065,吳鳳科技大學,進修,二年制大學(二技),390,0,350,0,89.74,"1.因應產業需求開設課程,並依各產業性質調整其上課時段,以協助企業培養所需人才,提升其專業素養。 2.長期與陸軍部隊訓練南區聯合測考中心、空軍第四戰術戰鬥機聯隊、海洋委員會海巡署中部分署、憲兵第203指揮部、榮民服務處等單位進行策略聯盟,以協助國軍提升軍職人員之專業技能及培養其第二、三專長之養成,使軍職人員於退伍後,能與產業專業接軌。3.設有77間合格證照考場及電競館,以輔導證照考試/申請專利,培養專業人才。4.師資專業優良、提供優質學習環境與設備,提昇學生學習興趣。 5.聘請專業業界師資,達到學校學習與業界實作兼顧,可與職場接軌。6.學費以修課學分學時計費,修滿72學分即可取得學士學位,學費較日間學制負擔輕。 7.低收入戶學生,可申請住宿減免,以協助弱勢學生安心就學。8.設有工程、消防、餐旅、數位科技類群研究所,提供學生繼續升學的管道,提升專業知識,以培養企業所需之專業研究人才。"
113,私立,技專校院,1065,吳鳳科技大學,在職,碩士班,42,0,43,0,100.00,"設有消防、數位科技與媒體設計系碩士在職專班。 消防系碩士在職專班研究方向分為「消防工程」及「安全防災暨鑑識」領域,旨在培養消防專業領域研究人才,拓展產學合作研究計劃及學生未來就業之技術,上課時間以星期六、星期日為原則。數位科技與媒體設計系碩士在職專班可依發展領域,選擇個人專長或興趣之研究主題,擇一進行研究或創作；本所相關研究與發展領域包括：數位科技應用、媒體設計、數位學習、數位行銷、商品設計、數位典藏、動畫遊戲、視訊視覺、造型展場設計及其他數位媒體相關應用,上課時間彈性安排於夜間及週末上課。 研究生參與教授主持之各項研究計畫,可獲一定額度的「研究獎助學金」。入學後考取各項技術士技能檢定或相關專業證照,可申請「證照獎助學金」。另有其他各類獎學金或教學助理機會供申請。"
113,私立,技專校院,1069,修平學校財團法人修平科技大學,日間,學士班(含四技),490,0,266,206,67.82,"一、堅持教育初心,為產業工程類人才守住國家發展根基。 二、完備管理人才培育專業,唯一重視財管、人管之學術重鎮。 三、結合語言與創意發想,紮實區隔觀光服務人才培育信念。"
113,私立,技專校院,1069,修平學校財團法人修平科技大學,日間,碩士班,50,0,40,3,81.13,"配合產業需求,培植高端人才。"
113,私立,技專校院,1069,修平學校財團法人修平科技大學,進修,學士班(含四技),333,0,136,0,40.84,"一、配合國家產業發展方針,推動產學訓發展計畫。 二、彈性進修時間活化進修課程,推動學用合一之進修精神。"
113,私立,技專校院,1069,修平學校財團法人修平科技大學,進修,二年制大學(二技),316,0,274,0,86.71,配合中部大廠協助厚植職工專業能力培育。
113,私立,技專校院,1069,修平學校財團法人修平科技大學,在職,碩士班,25,0,15,0,60.00,"結合實務經驗,創造學用無縫接軌研發功能。"
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,日間,學士班(含四技),814,0,810,5,99.51,"1.本校辦學績優,深受學生、家長與社會各界肯定：(1)系所通過臺灣評鑑協會教學品保評鑑認證,教學品質備受讚譽。(2)榮獲《遠見雜誌》2024企業最愛大學生調查、醫療機構最愛大學生第2名。(3)113學年全校新生註冊率達98.58%。(4)學生四人一室全套衛浴住宿環境,教學與住宿區免費無線上網。(5)提供超過2仟萬元校內工讀助學金、生活助學金及獎助學金,鼓勵學生專心向學。(6)敦聘博碩士級專業師資教學,學生100%職場實習。輔導學生畢業前取得專業證照。2.設有林口及嘉義校區：(1)四技日間部設置護理系、幼兒保育系、化妝品應用系、保健營養系。(2)日間部招生專線：林口校區03-2118999轉5533,嘉義校區05-3628800轉2361。"
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,日間,二年制大學(二技),698,0,673,0,96.42,"1.本校辦學績優,深受學生、家長與社會各界肯定：(1)系所通過臺灣評鑑協會教學品保評鑑認證,教學品質備受讚譽。(2)榮獲《遠見雜誌》2024企業最愛大學生調查、醫療機構最愛大學生第2名。(3)113學年全校新生註冊率達98.58%。(4)學生四人一室全套衛浴住宿環境,教學與住宿區免費無線上網。(5)提供超過2仟萬元校內工讀助學金、生活助學金及獎助學金,鼓勵學生專心向學。(6)敦聘博碩士級專業師資教學,學生100%職場實習,輔導學生畢業前取得專業證照。2.設有林口及嘉義校區：(1)二技日間部設置護理系、高齡暨健康照護管理系、呼吸照護系、化妝品應用系、幼兒保育系。 (2)日間部招生專線：林口校區03-2118999轉5533,嘉義校區05-3628800轉2361。"
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,日間,碩士班,46,0,44,0,95.65,"1.本校辦學績優,深受學生、家長與社會各界肯定,教學品質備受讚譽。2.高齡暨健康照護管理系碩士班特色：整合本校高齡健康照護領域師資,培育進階高齡健康照護專業人才。與臺塑企業相關部門、長庚醫療集團、公私立醫療衛生與其他機構合作,強化實務能力訓練。3.健康產業科技研究所特色：以健康與生物醫學為發展方向,培育產業研究高階人才；結合長庚醫療體系,特聘業界教師,學理實務並重,提昇職場競爭力。4.護理系碩士班特色：培育專科護理師專業人才,結合長庚醫療體系,優質業界教師指導,學理與臨床實務並重；應用多元教學策略及本校臨床技能中心,提昇專科護理師專業能力。5.幼兒保育系碩士班：聯結學術研究與產業實務,提升教保專業品質,培育優質教育與照護幼兒的進階教保專業人才,課程規劃包括教學創新及實務研究兩構面,培育「教保專業化、研究實務化」之教保專業人才。 6.招生專線：林口校區03-2118999轉5533。"
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,進修,二年制大學(二技),580,0,580,0,100.00,"1.本校辦學績優,深受學生、家長與社會各界肯定：(1)系所通過臺灣評鑑協會教學品保評鑑認證,教學品質備受讚譽。(2)榮獲《遠見雜誌》2024企業最愛大學生調查、醫療機構最愛大學生第2名。(3)113學年全校新生註冊率達98.58%。(4)學生四人一室全套衛浴住宿環境,教學與住宿區免費無線上網。(5)提供超過2仟萬元校內工讀助學金、生活助學金及獎助學金,鼓勵學生專心向學。(6)敦聘博碩士級專業師資教學,學生100%職場實習,輔導學生畢業前取得專業證照。2.設有林口及嘉義校區：(1)二技進修部設置護理系、高齡暨健康照護管理系、幼兒保育系。 (2)進修部招生專線：林口校區03-2118999轉5605。嘉義校區05-3628800轉2371。"
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,在職,碩士班,45,0,45,0,100.00,"1.本校辦學績優,深受學生、家長與社會各界肯定：(1)系所通過臺灣評鑑協會教學品保評鑑認證,教學品質備受讚譽。(2)榮獲《遠見雜誌》2024企業最愛大學生調查、醫療機構最愛大學生第2名。(3)113學年全校新生註冊率達98.58%。2.護理系碩士在職專班特色：(1)多元模組、小班教學,依專長及興趣分為臨床護理組、社區護理組授課,培育優質進階護理實務與研究人才。(2)師資具實務經驗及學術專長,教學與研究著重改善臨床照護品質。(3)課程強化臨床實務與理論結合。(4)結合長庚醫療體系的教學與研究資源,豐富學生學習內涵。(5)為國內優秀護理菁英人才搖籃,培育多位護理界傑出護理人員。3.設於林口校區、嘉義校區。招生專線：林口校區03-2118999轉5605(進修部)。嘉義校區05-3628800轉2371(進修部)。"
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,日間,五專,211,0,167,0,79.15,"本校五專設有電機工程科、資訊工程科、應用外語科及餐飲事業科,理論與實務的併行,強調實務與創新,以培養產業所需務實致用之專業人才。"
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,日間,學士班(含四技),1782,0,1195,654,75.90,"本校以「適性、揚才、求創新、好就業」之教育理念,透過一畢、二語、三獎、四證之教學方針,理論與實務的併行,推動校外實習、語言學習、競賽參與及專業證照考取,達到「就學即就業」目標。"
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,日間,碩士班,44,0,38,4,87.50,"本校設機電整合碩士班、電子商務碩士班及休閒事業系碩士班,以培養各相關產業領域之專業菁英管理人才。"
