學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),...,...,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),...,...,4,1,3,0,0,0,4,1,3,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),...,...,16,3,13,1,1,0,2,0,2,0,0,0,13,2,11
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),...,...,15,4,11,14,4,10,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),...,...,13,3,10,6,2,4,6,0,6,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),...,...,6,2,4,2,1,1,4,1,3,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03214051,新聞學系,博士班,...,...,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),...,...,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),...,...,6,1,5,1,1,0,1,0,1,1,0,1,3,0,3
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),...,...,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),...,...,4,2,2,0,0,0,0,0,0,1,0,1,3,2,1
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),...,...,3,3,0,0,0,0,2,2,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),...,...,9,3,6,0,0,0,0,0,0,0,0,0,9,3,6
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),...,...,4,2,2,0,0,0,3,1,2,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),...,...,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),...,...,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),...,...,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),...,...,16,7,9,10,5,5,5,1,4,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,...,...,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),...,...,13,5,8,5,3,2,5,2,3,2,0,2,1,0,1
