學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
108,公立,一般大學,0018,國立嘉義大學,05311059,應用化學系,碩士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,05411062,應用數學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,06131063,資訊管理學系,學士班(日間),香港,港澳,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,06131063,資訊管理學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,06131066,資訊工程學系,博士班,泰國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07141064,電機工程學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(日間),印度尼西亞共和國,東協,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(日間),日本,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(日間),馬來西亞,東協,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,博士班,越南社會主義共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07211088,食品科學系,碩士班(日間),泰國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,學士班(日間),印度尼西亞共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,07321070,土木與水資源工程學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08111074,農藝學系,學士班(日間),馬來西亞,東協,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,學士班(日間),馬來西亞,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08112079,動物科學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,學士班(日間),馬來西亞,東協,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08121080,園藝學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08192094,農學院農業科技全英碩士學位學程,碩士班(日間),印度尼西亞共和國,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08192094,農學院農業科技全英碩士學位學程,碩士班(日間),泰國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08194084,植物醫學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08211096,森林暨自然資源學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08211106,木質材料與設計學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08411108,獸醫學系,學士班(日間),馬來西亞,東協,4,2,2,3,2,1,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08411108,獸醫學系,學士班(日間),香港,港澳,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08411108,獸醫學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0018,國立嘉義大學,08411108,獸醫學系,學士班(日間),美國,北美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程,碩士班(日間),印度尼西亞共和國,東協,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程,碩士班(日間),泰國,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程,碩士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0018,國立嘉義大學,10152113,體育與健康休閒學系,碩士班(日間),大陸地區,大陸地區,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
108,公立,一般大學,0019,國立高雄大學,02199005,創意設計與建築學系,學士班(日間),澳門,港澳,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0
108,公立,一般大學,0019,國立高雄大學,02199005,創意設計與建築學系,學士班(日間),美國,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,02311002,西洋語文學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,02311002,西洋語文學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0019,國立高雄大學,02311003,東亞語文學系,學士班(日間),馬來西亞,東協,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,02311003,東亞語文學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0019,國立高雄大學,03111006,應用經濟學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,03111006,應用經濟學系,學士班(日間),大陸地區,大陸地區,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
108,公立,一般大學,0019,國立高雄大學,04121011,金融管理學系,學士班(日間),印度尼西亞共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04121011,金融管理學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131009,亞太工商管理學系,學士班(日間),馬來西亞,東協,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131009,亞太工商管理學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131009,亞太工商管理學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),印度尼西亞共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),泰國,東協,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),越南社會主義共和國,東協,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),蒙古國,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),哥倫比亞共和國,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),巴拉圭,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04211015,法律學系,學士班(日間),緬甸,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04212016,財經法律學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,04212016,財經法律學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
108,公立,一般大學,0019,國立高雄大學,05111019,生命科學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,05311022,應用化學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
108,公立,一般大學,0019,國立高雄大學,05331023,應用物理學系,碩士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,05331023,應用物理學系,碩士班(日間),蒙古國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,05411024,應用數學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,05421025,統計學研究所,碩士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,05499037,應用科學碩士學位學程,碩士班(日間),菲律賓共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,06131026,資訊管理學系,學士班(日間),印度尼西亞共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,06131026,資訊管理學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,06131028,資訊工程學系,學士班(日間),印度尼西亞共和國,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,07111030,化學工程及材料工程學系,碩士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0019,國立高雄大學,07321029,土木與環境工程學系,學士班(日間),馬來西亞,東協,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01111001,教育與潛能開發學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01111001,教育與潛能開發學系教育博士班,博士班,印度尼西亞共和國,東協,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01111001,教育與潛能開發學系教育博士班,博士班,大陸地區,大陸地區,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
108,公立,一般大學,0020,國立東華大學,01111001,教育與潛能開發學系教育碩士班,碩士班(日間),印度尼西亞共和國,東協,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01111001,教育與潛能開發學系教育碩士班,碩士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01113013,特殊教育學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01113013,特殊教育學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,01113013,特殊教育學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,01114015,教育行政與管理學系,學士班(日間),馬來西亞,東協,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01121012,幼兒教育學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01141010,體育與運動科學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,01141010,體育與運動科學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02121019,藝術與設計學系,學士班(日間),馬來西亞,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02121019,藝術與設計學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02121019,藝術與設計學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02121019,藝術與設計學系,學士班(日間),大陸地區,大陸地區,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
108,公立,一般大學,0020,國立東華大學,02191022,藝術創意產業學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02191022,藝術創意產業學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02221033,歷史學系,學士班(日間),馬來西亞,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02221033,歷史學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02311029,英美語文學系,學士班(日間),馬來西亞,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02311029,英美語文學系,學士班(日間),香港,港澳,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02311029,英美語文學系,碩士班(日間),印度尼西亞共和國,東協,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02311029,英美語文學系,碩士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02321028,民族語言與傳播學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02322025,中國語文學系,學士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02322025,中國語文學系,學士班(日間),香港,港澳,4,3,1,0,0,0,0,0,0,4,3,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02322025,中國語文學系,學士班(日間),澳門,港澳,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0
108,公立,一般大學,0020,國立東華大學,02323104,華文文學系,學士班(日間),緬甸,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,02323104,華文文學系,學士班(日間),香港,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,02323104,華文文學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03111034,經濟學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03111034,經濟學系,碩士班(日間),馬拉威共和國,非洲,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03131046,諮商與臨床心理學系,學士班(日間),馬來西亞,東協,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03131046,諮商與臨床心理學系,學士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03131046,諮商與臨床心理學系,學士班(日間),蒙古國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03131046,諮商與臨床心理學系,碩士班(日間),馬來西亞,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03131046,諮商與臨床心理學系,碩士班(日間),墨西哥合眾國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03141036,社會學系,學士班(日間),馬來西亞,東協,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03141036,社會學系,學士班(日間),香港,港澳,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03141036,社會學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,03143051,臺灣文化學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03143051,臺灣文化學系,碩士班(日間),印度尼西亞共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,03143051,臺灣文化學系,碩士班(日間),英國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04111056,會計學系,學士班(日間),馬來西亞,東協,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04121061,財務金融學系,學士班(日間),馬來西亞,東協,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04121061,財務金融學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04121061,財務金融學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
108,公立,一般大學,0020,國立東華大學,04121061,財務金融學系,碩士班(日間),印度尼西亞共和國,東協,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04121061,財務金融學系,碩士班(日間),聖克里斯多福及尼維斯,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,學士班(日間),印度尼西亞共和國,東協,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,學士班(日間),馬來西亞,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,學士班(日間),越南社會主義共和國,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,博士班,印度尼西亞共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,碩士班(日間),印度尼西亞共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,碩士班(日間),越南社會主義共和國,東協,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,碩士班(日間),蒙古國,其他亞洲地區,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,學士班(日間),印度尼西亞共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,學士班(日間),馬來西亞,東協,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,學士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,碩士班(日間),印度尼西亞共和國,東協,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,碩士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,碩士班(日間),美國,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04134054,公共行政學系,學士班(日間),澳門,港澳,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),印度尼西亞共和國,東協,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),蒙古國,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),馬拉威共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05121069,生命科學系,學士班(日間),澳門,港澳,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,公立,一般大學,0020,國立東華大學,05121069,生命科學系生物技術碩士班,碩士班(日間),印度尼西亞共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05121069,生命科學系生物技術碩士班,碩士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211094,自然資源與環境學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211094,自然資源與環境學系,學士班(日間),大陸地區,大陸地區,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
108,公立,一般大學,0020,國立東華大學,05211094,自然資源與環境學系,博士班,泰國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211094,自然資源與環境學系,碩士班(日間),印度,南亞,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211094,自然資源與環境學系,碩士班(日間),尼泊爾聯邦民主共和國,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211094,自然資源與環境學系,碩士班(日間),美國,北美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211100,人文與環境碩士學位學程,碩士班(日間),馬拉威共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211100,人文與環境碩士學位學程,碩士班(日間),捷克共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05211100,人文與環境碩士學位學程,碩士班(日間),美國,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05311071,化學系,博士班,印度,南亞,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05323078,海洋生物研究所,碩士班(日間),越南社會主義共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05331072,物理學系應用物理碩士班,碩士班(日間),印度尼西亞共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05331072,物理學系應用物理碩士班,碩士班(日間),菲律賓共和國,東協,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,05411074,應用數學系,學士班(日間),印度尼西亞共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),蒙古國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),史瓦帝尼王國,非洲,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),宏都拉斯共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),尼加拉瓜,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),貝里斯,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),聖露西亞,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),聖克里斯多福及尼維斯,中南美洲,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,博士班,越南社會主義共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,博士班,捷克共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,碩士班(日間),印度尼西亞共和國,東協,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,碩士班(日間),聖克里斯多福及尼維斯,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06134081,資訊管理學系,學士班(日間),馬來西亞,東協,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06134081,資訊管理學系,學士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,一般大學,0020,國立東華大學,06134081,資訊管理學系,碩士班(日間),馬拉威共和國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
