學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),13,4,9,22.81
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),10,7,3,27.03
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),10,7,3,16.13
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),2,1,1,3.57
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),3,2,1,4.62
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),2,1,1,5.26
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),25,10,15,23.81
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),2,0,2,6.45
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),4,4,0,5.19
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),13,5,8,18.57
106,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),39,23,16,72.22
106,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),4,1,3,11.43
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),10,5,5,17.86
106,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),15,10,5,20.83
106,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),6,4,2,17.65
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),12,9,3,17.39
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),67,17,50,27.92
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),28,4,24,57.14
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),5,0,5,9.43
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),8,6,2,10.00
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),22,11,11,24.18
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),1,0,1,1.32
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),31,11,20,11.36
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),65,38,27,43.92
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),7,6,1,6.80
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),3,2,1,3.57
