學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),1,0,1,2,1,1,2.10
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),1,1,0,1,0,1,2.50
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),1,1,0,0,0,0,1.10
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),3,1,2,0,0,0,4.29
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),1,1,0,3,2,1,8.16
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),1,0,1,1,1,0,7.69
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),1,1,0,2,1,1,4.05
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),0,0,0,1,1,0,1.43
106,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),1,1,0,1,1,0,5.88
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),0,0,0,1,0,1,1.79
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),0,0,0,1,1,0,1.45
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),0,0,0,1,1,0,1.25
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),1,0,1,0,0,0,1.89
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),17,6,11,6,2,4,8.42
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),1,1,0,0,0,0,0.68
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),1,0,1,1,1,0,1.77
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),1,0,1,2,1,1,2.05
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),2,1,1,1,1,0,4.76
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),0,0,0,1,1,0,1.19
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士班(日間),1,1,0,0,0,0,1.43
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,碩士班(日間),2,2,0,5,5,0,2.79
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),2,2,0,0,0,0,1.94
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),0,0,0,1,1,0,1.69
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),1,1,0,0,0,0,1.89
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),7,1,6,20,4,16,14.59
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),5,0,5,10,1,9,4.40
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),7,2,5,2,0,2,5.77
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),2,2,0,13,10,3,7.58
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),5,3,2,10,2,8,4.39
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),2,0,2,5,3,2,4.93
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),5,0,5,5,0,5,4.63
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),3,0,3,2,2,0,2.82
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),2,1,1,1,1,0,1.45
106,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),5,3,2,1,1,0,5.50
