學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),212,70,142
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),41,9,32
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,105,51,54
112,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),48,16,32
112,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,89,27,62
112,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),43,3,40
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),26,11,15
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,26,15,11
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),176,93,83
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),54,40,14
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,26,18,8
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),61,38,23
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,18,8,10
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),186,80,106
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),19,9,10
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,17,6,11
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),193,99,94
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),45,33,12
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,24,16,8
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),280,86,194
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),58,13,45
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,21,10,11
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,35,4,31
112,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),170,45,125
112,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),26,11,15
112,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),176,61,115
112,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),155,25,130
112,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),25,0,25
112,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),123,34,89
112,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),262,53,209
112,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),202,48,154
112,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),11,2,9
112,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),158,44,114
112,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),39,15,24
112,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,10,4,6
112,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),328,79,249
112,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),87,38,49
112,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,50,25,25
112,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,75,10,65
112,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,14,2,12
112,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),56,7,49
112,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),38,9,29
112,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,5,2,3
112,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),395,205,190
112,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),100,60,40
112,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,7,6,1
112,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),45,17,28
112,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),220,90,130
112,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),69,45,24
112,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,18,12,6
112,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,65,43,22
