學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),男,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),男,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,男,51,16,12,0,0,0,0,5,0,7,0,0,0,0,0,0,0,4,0,4
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),女,142,6,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),女,32,7,6,0,0,0,0,1,0,1,0,0,1,0,1,0,2,1,0,1
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,女,54,13,10,0,0,0,0,5,0,3,0,0,0,0,1,0,1,3,0,3
112,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),男,16,4,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
112,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),女,32,8,5,0,0,0,0,2,0,0,0,1,0,0,0,0,2,3,0,3
112,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,男,27,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2
112,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,女,62,12,6,1,0,0,0,4,0,0,0,0,0,0,1,0,0,6,0,6
112,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),男,3,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),女,40,29,24,2,0,0,0,6,1,8,0,1,1,0,0,0,5,5,0,5
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),男,11,3,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,男,15,5,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),女,15,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,女,11,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),男,93,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),男,40,9,8,1,0,0,0,2,0,0,0,0,3,0,1,0,1,1,0,1
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,男,18,5,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),女,83,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),女,14,5,5,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,女,8,4,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),男,38,22,18,0,0,0,0,0,0,0,0,0,14,0,1,0,3,4,0,4
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,男,8,7,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,3
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),女,23,10,8,1,0,0,0,1,0,0,0,0,5,0,1,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,女,10,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),男,80,5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),男,9,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,男,6,5,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),女,106,7,6,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),女,10,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,女,11,6,6,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),男,99,7,5,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,2
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),男,33,12,9,0,0,0,0,1,0,0,1,0,4,0,2,0,1,3,0,3
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,男,16,8,6,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),女,94,6,5,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),女,12,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,女,8,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),男,86,6,6,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),男,13,9,5,0,0,0,0,1,0,0,2,0,2,0,0,0,0,4,0,4
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,男,10,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),女,194,14,10,1,0,0,0,1,0,0,0,2,0,0,1,0,5,4,0,4
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),女,45,10,10,0,0,0,0,3,0,0,0,0,4,0,2,0,1,0,0,0
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,女,11,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,男,4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,女,31,8,8,0,0,0,0,4,1,1,0,1,1,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),男,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),男,11,4,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),女,125,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
112,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),女,15,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),男,61,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,2
112,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),女,115,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,3
112,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),男,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),女,130,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
112,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),女,25,7,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,4
112,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),男,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),女,89,4,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
112,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),男,53,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
112,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),女,209,10,9,4,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,1
112,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),男,48,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
112,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),男,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),女,154,7,7,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
112,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),女,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),男,44,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
112,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),女,114,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
112,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),男,15,8,6,1,0,0,0,1,0,0,0,0,2,0,0,0,2,2,0,2
112,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,男,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
112,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),女,24,9,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,2
112,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,女,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),男,79,6,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
