學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
113,私立,技專校院,1064,美和學校財團法人美和科技大學,五專,331,304,91.84
113,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(日間),319,270,84.64
113,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(進修),599,517,86.31
113,私立,技專校院,1065,吳鳳科技大學,二專(進修),82,72,87.80
113,私立,技專校院,1065,吳鳳科技大學,學士班(日間),348,305,87.64
113,私立,技專校院,1065,吳鳳科技大學,學士班(進修),486,436,89.71
113,私立,技專校院,1069,修平學校財團法人修平科技大學,學士班(日間),284,232,81.69
113,私立,技專校院,1069,修平學校財團法人修平科技大學,學士班(進修),454,366,80.62
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(日間),1540,1467,95.26
113,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(進修),567,503,88.71
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,二專(進修),159,129,81.13
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,五專,148,126,85.14
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(日間),1198,968,80.80
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(進修),392,301,76.79
113,私立,技專校院,1072,大華學校財團法人敏實科技大學,五專,21,20,95.24
113,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(日間),60,44,73.33
113,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(進修),51,39,76.47
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,二專(進修),15,11,73.33
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(日間),939,718,76.46
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(進修),322,222,68.94
113,私立,技專校院,1075,文藻學校財團法人文藻外語大學,五專,456,424,92.98
113,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(日間),827,697,84.28
113,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(進修),181,131,72.38
113,私立,技專校院,1078,致理學校財團法人致理科技大學,五專,327,305,93.27
113,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(日間),1555,1424,91.58
113,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(進修),656,475,72.41
113,私立,一般大學,1079,康寧學校財團法人康寧大學,二專(進修),93,82,88.17
113,私立,一般大學,1079,康寧學校財團法人康寧大學,五專,591,546,92.39
113,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(日間),24,22,91.67
113,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(進修),103,93,90.29
113,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,五專,225,196,87.11
113,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(日間),204,166,81.37
113,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(進修),567,452,79.72
113,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,學士班(日間),297,129,43.43
113,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(進修),74,52,70.27
113,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,五專,110,95,86.36
113,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(日間),592,440,74.32
113,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(進修),350,297,84.86
113,私立,技專校院,1084,亞東學校財團法人亞東科技大學,學士班(日間),982,857,87.27
113,私立,技專校院,1084,亞東學校財團法人亞東科技大學,學士班(進修),49,47,95.92
113,私立,一般大學,1125,中信學校財團法人中信金融管理學院,學士班(日間),225,159,70.67
113,私立,技專校院,1148,大漢技術學院,二專(進修),19,13,68.42
113,私立,技專校院,1148,大漢技術學院,學士班(日間),18,11,61.11
113,私立,技專校院,1148,大漢技術學院,學士班(進修),121,89,73.55
113,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(日間),201,148,73.63
113,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(進修),493,455,92.29
113,私立,技專校院,1183,黎明技術學院,五專,71,63,88.73
113,私立,技專校院,1183,黎明技術學院,學士班(日間),524,347,66.22
113,私立,技專校院,1183,黎明技術學院,學士班(進修),492,266,54.07
113,私立,技專校院,1185,德育學校財團法人德育護理健康學院,二專(進修),83,74,89.16
113,私立,技專校院,1185,德育學校財團法人德育護理健康學院,五專,241,184,76.35
113,私立,技專校院,1185,德育學校財團法人德育護理健康學院,學士班(日間),216,162,75.00
113,私立,技專校院,1185,德育學校財團法人德育護理健康學院,學士班(進修),390,341,87.44
113,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(日間),182,171,93.96
113,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(進修),33,32,96.97
113,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,學士班(日間),7,5,71.43
113,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,學士班(進修),19,16,84.21
113,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,二專(進修),34,29,85.29
113,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,五專,862,790,91.65
113,私立,技專校院,1283,仁德醫護管理專科學校,二專(進修),215,146,67.91
113,私立,技專校院,1283,仁德醫護管理專科學校,五專,1074,961,89.48
113,私立,技專校院,1284,樹人醫護管理專科學校,二專(進修),211,186,88.15
113,私立,技專校院,1284,樹人醫護管理專科學校,五專,1498,1368,91.32
113,私立,技專校院,1285,慈惠醫護管理專科學校,二專(日間),21,20,95.24
113,私立,技專校院,1285,慈惠醫護管理專科學校,二專(進修),54,44,81.48
113,私立,技專校院,1285,慈惠醫護管理專科學校,五專,240,204,85.00
113,私立,技專校院,1286,耕莘健康管理專科學校,二專(進修),64,60,93.75
113,私立,技專校院,1286,耕莘健康管理專科學校,五專,801,753,94.01
113,私立,技專校院,1287,敏惠醫護管理專科學校,二專(進修),45,41,91.11
113,私立,技專校院,1287,敏惠醫護管理專科學校,五專,636,583,91.67
113,私立,技專校院,1289,育英醫護管理專科學校,五專,380,345,90.79
113,私立,技專校院,1291,聖母醫護管理專科學校,二專(進修),33,20,60.61
113,私立,技專校院,1291,聖母醫護管理專科學校,五專,260,231,88.85
113,私立,技專校院,1292,新生醫護管理專科學校,二專(進修),40,34,85.00
113,私立,技專校院,1292,新生醫護管理專科學校,五專,1304,1190,91.26
113,私立,技專校院,1293,崇仁醫護管理專科學校,五專,627,585,93.30
113,私立,宗教研修學院,1R03,臺北基督學院,學士班(日間),6,2,33.33
113,公立,一般大學,3002,臺北市立大學,學士班(日間),1237,1142,92.32
