學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,技專校院,0024,國立屏東科技大學,學士班(進修),1318,855,463
111,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),1150,655,495
111,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,281,172,109
111,公立,技專校院,0024,國立屏東科技大學,博士班,254,158,96
111,公立,技專校院,0025,國立臺北科技大學,五專,150,123,27
111,公立,技專校院,0025,國立臺北科技大學,學士班(日間),6345,4452,1893
111,公立,技專校院,0025,國立臺北科技大學,學士班(進修),1439,1203,236
111,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),3376,2417,959
111,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,1586,1079,507
111,公立,技專校院,0025,國立臺北科技大學,博士班,737,554,183
111,公立,技專校院,0025,國立臺北科技大學,附設進院,6,6,0
111,公立,一般大學,0028,國立臺北藝術大學,七年一貫,85,41,44
111,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),1797,649,1148
111,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),1011,357,654
111,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,177,58,119
111,公立,一般大學,0028,國立臺北藝術大學,博士班,109,46,63
111,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),2374,669,1705
111,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),1929,574,1355
111,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),773,274,499
111,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,386,168,218
111,公立,一般大學,0029,國立臺灣藝術大學,博士班,152,71,81
111,公立,一般大學,0030,國立臺東大學,學士班(日間),3668,1837,1831
111,公立,一般大學,0030,國立臺東大學,學士班(進修),368,152,216
111,公立,一般大學,0030,國立臺東大學,碩士班(日間),389,154,235
111,公立,一般大學,0030,國立臺東大學,碩士在職專班,627,165,462
111,公立,一般大學,0030,國立臺東大學,博士班,47,20,27
111,公立,一般大學,0031,國立宜蘭大學,學士班(日間),4488,2835,1653
111,公立,一般大學,0031,國立宜蘭大學,學士班(進修),403,264,139
111,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),521,345,176
111,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,214,153,61
111,公立,一般大學,0031,國立宜蘭大學,博士班,15,10,5
111,公立,一般大學,0032,國立聯合大學,學士班(日間),6122,4264,1858
111,公立,一般大學,0032,國立聯合大學,學士班(進修),1053,751,302
111,公立,一般大學,0032,國立聯合大學,碩士班(日間),413,290,123
111,公立,一般大學,0032,國立聯合大學,碩士在職專班,43,22,21
111,公立,一般大學,0032,國立聯合大學,博士班,18,15,3
111,公立,技專校院,0033,國立虎尾科技大學,二專(日間),70,69,1
111,公立,技專校院,0033,國立虎尾科技大學,五專,317,275,42
111,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),7688,5918,1770
111,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),2345,1892,453
111,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),1014,830,184
111,公立,技專校院,0033,國立虎尾科技大學,碩士在職專班,191,138,53
111,公立,技專校院,0033,國立虎尾科技大學,博士班,57,48,9
111,公立,技專校院,0033,國立虎尾科技大學,附設進院,4,3,1
111,公立,一般大學,0035,國立臺南藝術大學,七年一貫,174,70,104
111,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),789,259,530
111,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),579,225,354
111,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,58,14,44
111,公立,一般大學,0035,國立臺南藝術大學,博士班,62,25,37
111,公立,一般大學,0036,國立臺南大學,學士班(日間),3902,1833,2069
111,公立,一般大學,0036,國立臺南大學,學士班(進修),180,111,69
111,公立,一般大學,0036,國立臺南大學,碩士班(日間),1002,418,584
111,公立,一般大學,0036,國立臺南大學,碩士在職專班,632,205,427
111,公立,一般大學,0036,國立臺南大學,博士班,153,64,89
111,公立,一般大學,0037,國立臺北教育大學,學士班(日間),3325,1097,2228
111,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),1427,435,992
111,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,1051,247,804
111,公立,一般大學,0037,國立臺北教育大學,博士班,152,64,88
111,公立,一般大學,0039,國立臺中教育大學,學士班(日間),3211,1151,2060
111,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),902,274,628
111,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,779,166,613
111,公立,一般大學,0039,國立臺中教育大學,博士班,108,37,71
111,公立,技專校院,0042,國立澎湖科技大學,五專,94,88,6
111,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),2472,1543,929
111,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),240,113,127
111,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),80,43,37
111,公立,技專校院,0042,國立澎湖科技大學,碩士在職專班,41,24,17
111,公立,技專校院,0043,國立勤益科技大學,二專(進修),294,216,78
111,公立,技專校院,0043,國立勤益科技大學,學士班(日間),7005,4836,2169
111,公立,技專校院,0043,國立勤益科技大學,學士班(進修),4096,3452,644
111,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),678,493,185
111,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,296,224,72
111,公立,技專校院,0043,國立勤益科技大學,博士班,52,45,7
111,公立,一般大學,0044,國立體育大學,學士班(日間),1914,1175,739
111,公立,一般大學,0044,國立體育大學,學士班(進修),102,65,37
111,公立,一般大學,0044,國立體育大學,碩士班(日間),352,183,169
111,公立,一般大學,0044,國立體育大學,碩士在職專班,221,119,102
111,公立,一般大學,0044,國立體育大學,博士班,144,93,51
111,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),3760,820,2940
111,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),705,43,662
