學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),221,69,152
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),34,6,28
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,94,45,49
113,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),40,17,23
113,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,87,29,58
113,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),28,3,25
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),30,14,16
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,23,11,12
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),179,93,86
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),49,33,16
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,25,18,7
113,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),57,38,19
113,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,20,8,12
113,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),186,80,106
113,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),18,10,8
113,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,14,6,8
113,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),204,103,101
113,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),37,26,11
113,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,27,17,10
113,公立,一般大學,0001,國立政治大學,02299098,亞際文化研究國際碩士學位學程,碩士班(日間),3,1,2
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),283,93,190
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),53,12,41
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,20,8,12
113,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,27,5,22
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),162,35,127
113,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),20,10,10
113,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),168,62,106
113,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),153,29,124
113,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),24,0,24
113,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),115,31,84
113,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),264,52,212
113,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),198,53,145
113,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),12,2,10
113,公立,一般大學,0001,國立政治大學,02311099,東南亞語文學系,學士班(日間),187,49,138
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),35,15,20
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,13,6,7
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),339,82,257
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),82,32,50
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,47,21,26
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,67,6,61
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,12,3,9
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),64,14,50
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),36,8,28
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,8,3,5
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),395,209,186
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),102,61,41
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,6,5,1
113,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),40,17,23
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),236,97,139
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),60,38,22
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,16,11,5
113,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,69,46,23
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),270,105,165
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),81,45,36
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,7,6,1
113,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,95,61,34
113,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),56,31,25
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),224,57,167
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),98,24,74
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,13,5,8
113,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),50,14,36
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),179,65,114
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),63,27,36
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,11,5,6
113,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),14,7,7
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),64,46,18
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,36,20,16
