學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0004,國立臺灣師範大學,博士班,女,707,214,214,5,3,1,0,78,2,40,0,8,50,1,24,2,0,0,0,0
112,公立,一般大學,0005,國立成功大學,學士班(日間),男,7451,322,319,22,3,204,20,7,0,0,6,13,0,13,6,14,11,3,0,3
112,公立,一般大學,0005,國立成功大學,碩士班(日間),男,4739,281,277,20,9,86,14,37,0,3,15,9,33,15,19,11,6,4,0,4
112,公立,一般大學,0005,國立成功大學,碩士在職專班,男,932,180,176,5,1,4,3,90,0,27,0,1,22,1,19,2,1,4,0,4
112,公立,一般大學,0005,國立成功大學,博士班,男,1228,224,224,10,5,22,20,51,0,30,9,1,41,2,18,2,13,0,0,0
112,公立,一般大學,0005,國立成功大學,學士班(日間),女,4708,214,213,25,0,144,7,1,0,1,0,16,0,6,4,7,2,1,0,1
112,公立,一般大學,0005,國立成功大學,碩士班(日間),女,2714,218,216,15,10,53,5,36,5,12,0,10,37,11,12,7,3,2,0,2
112,公立,一般大學,0005,國立成功大學,碩士在職專班,女,650,114,111,8,1,8,1,37,5,23,0,1,11,0,15,0,1,3,0,3
112,公立,一般大學,0005,國立成功大學,博士班,女,660,115,114,1,4,12,7,26,4,21,0,3,17,0,4,2,13,1,0,1
112,公立,一般大學,0006,國立中興大學,學士班(日間),男,4621,226,226,20,3,127,24,13,0,0,4,13,0,3,13,2,4,0,0,0
112,公立,一般大學,0006,國立中興大學,學士班(進修),男,369,53,53,6,3,3,1,19,0,2,1,3,0,3,7,4,1,0,0,0
112,公立,一般大學,0006,國立中興大學,碩士班(日間),男,2242,213,213,14,9,30,0,60,0,4,5,6,28,5,28,18,6,0,0,0
112,公立,一般大學,0006,國立中興大學,碩士在職專班,男,1143,278,278,9,5,3,0,120,0,30,0,3,82,1,18,3,4,0,0,0
112,公立,一般大學,0006,國立中興大學,博士班,男,652,132,132,5,3,1,0,39,0,13,4,7,44,0,13,0,3,0,0,0
112,公立,一般大學,0006,國立中興大學,學士班(日間),女,3557,132,132,12,1,68,8,4,0,1,0,21,0,6,3,2,6,0,0,0
112,公立,一般大學,0006,國立中興大學,學士班(進修),女,459,39,39,2,3,4,1,19,1,0,0,2,0,1,1,3,2,0,0,0
112,公立,一般大學,0006,國立中興大學,碩士班(日間),女,1555,183,183,17,9,14,0,49,2,4,0,8,37,5,16,11,11,0,0,0
112,公立,一般大學,0006,國立中興大學,碩士在職專班,女,651,128,128,10,3,1,0,46,3,26,0,3,22,0,9,1,4,0,0,0
112,公立,一般大學,0006,國立中興大學,博士班,女,348,56,56,4,1,1,0,12,2,12,0,0,14,0,9,1,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,學士班(日間),男,5528,215,215,14,2,87,23,13,0,0,3,33,0,13,7,20,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),男,5150,295,295,24,10,32,7,52,0,3,23,24,93,12,5,10,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,男,1210,236,236,5,1,4,1,103,0,41,0,8,59,2,10,2,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,博士班,男,1772,338,338,17,9,13,6,99,0,47,15,15,94,1,15,7,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,學士班(日間),女,3084,115,115,10,2,37,7,5,0,3,0,24,0,5,4,18,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),女,3125,276,276,32,8,29,1,62,3,14,0,24,66,11,12,14,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,女,727,116,116,9,0,3,0,41,6,15,0,4,27,1,10,0,0,0,0,0
112,公立,一般大學,0007,國立陽明交通大學,博士班,女,832,164,164,16,4,6,0,42,5,32,0,6,39,1,10,3,0,0,0,0
112,公立,一般大學,0008,國立中央大學,學士班(日間),男,3852,101,101,9,2,49,11,2,0,0,1,11,0,1,7,8,0,0,0,0
112,公立,一般大學,0008,國立中央大學,碩士班(日間),男,2490,159,159,4,8,31,2,24,0,3,4,6,37,4,11,25,0,0,0,0
112,公立,一般大學,0008,國立中央大學,碩士在職專班,男,919,206,206,7,3,5,1,96,0,27,0,3,43,1,16,4,0,0,0,0
112,公立,一般大學,0008,國立中央大學,博士班,男,637,149,149,2,3,2,0,40,0,18,4,4,59,0,16,1,0,0,0,0
112,公立,一般大學,0008,國立中央大學,學士班(日間),女,2422,88,88,10,0,38,8,3,1,0,0,17,0,6,3,2,0,0,0,0
112,公立,一般大學,0008,國立中央大學,碩士班(日間),女,1280,136,136,8,6,19,2,35,1,1,0,9,36,5,3,11,0,0,0,0
112,公立,一般大學,0008,國立中央大學,碩士在職專班,女,597,109,109,10,0,0,0,40,1,25,0,1,22,0,7,3,0,0,0,0
112,公立,一般大學,0008,國立中央大學,博士班,女,300,60,60,2,1,2,0,13,1,5,0,0,27,0,7,2,0,0,0,0
112,公立,一般大學,0009,國立中山大學,學士班(日間),男,3051,122,122,8,2,54,11,9,0,0,0,13,0,5,17,3,0,0,0,0
112,公立,一般大學,0009,國立中山大學,碩士班(日間),男,2085,197,197,11,2,30,0,41,0,3,12,1,37,11,38,11,0,0,0,0
112,公立,一般大學,0009,國立中山大學,碩士在職專班,男,510,95,95,4,0,2,0,54,0,9,0,0,12,0,14,0,0,0,0,0
