學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),216,58,158
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),29,5,24
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,103,47,56
114,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),45,13,32
114,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,81,28,53
114,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),23,1,22
114,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),27,15,12
114,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,20,10,10
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),180,93,87
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),43,29,14
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,28,24,4
114,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),43,29,14
114,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,19,10,9
114,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),180,82,98
114,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),21,11,10
114,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,12,8,4
114,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),197,91,106
114,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),45,33,12
114,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,28,20,8
114,公立,一般大學,0001,國立政治大學,02299098,亞際文化研究國際碩士學位學程,碩士班(日間),6,2,4
114,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),277,89,188
114,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),56,18,38
114,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,20,10,10
114,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,34,7,27
114,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),170,38,132
114,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),23,10,13
114,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),163,57,106
114,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),161,27,134
114,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),23,1,22
114,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),110,31,79
114,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),268,60,208
114,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),191,55,136
114,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),10,1,9
114,公立,一般大學,0001,國立政治大學,02311099,東南亞語文學系,學士班(日間),201,61,140
114,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),33,13,20
114,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,14,7,7
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),339,82,257
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),72,26,46
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,43,17,26
114,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,77,15,62
114,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,14,3,11
114,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),56,12,44
114,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),36,9,27
114,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,6,2,4
114,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),382,209,173
114,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),94,50,44
114,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,7,7,0
114,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),43,17,26
114,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),241,110,131
114,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),58,34,24
114,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,17,13,4
114,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,83,55,28
114,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),275,110,165
114,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),82,45,37
114,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,8,7,1
114,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,79,47,32
114,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),50,24,26
114,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),212,56,156
114,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),96,21,75
114,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,14,6,8
114,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),45,16,29
114,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),180,62,118
114,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),53,26,27
114,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,11,5,6
114,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),12,5,7
114,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),62,44,18
114,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,31,18,13
114,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,8,3,5
114,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),35,11,24
114,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),26,15,11
114,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,69,34,35
114,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),77,38,39
114,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),512,228,284
114,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士班(日間),67,30,37
114,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士在職專班,98,61,37
114,公立,一般大學,0001,國立政治大學,03143043,地政學系,博士班,15,9,6
114,公立,一般大學,0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,碩士班(日間),38,14,24
114,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),51,31,20
114,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,41,25,16
114,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),43,15,28
114,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),199,50,149
114,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),55,16,39
114,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),217,88,129
114,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),387,114,273
