學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,70,37,33
111,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),80,40,40
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),490,259,231
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士班(日間),66,31,35
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士在職專班,100,55,45
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,博士班,11,6,5
111,公立,一般大學,0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,碩士班(日間),40,15,25
111,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),76,41,35
111,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,35,22,13
111,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),66,20,46
111,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),239,50,189
111,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),66,21,45
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),391,109,282
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院博士班,博士班,41,20,21
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院碩士在職專班,碩士在職專班,94,29,65
111,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),218,78,140
111,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),99,28,71
111,公立,一般大學,0001,國立政治大學,03214051,新聞學系,博士班,1,0,1
111,公立,一般大學,0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,碩士班(日間),43,6,37
111,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),58,12,46
111,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,博士班,14,5,9
111,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,碩士在職專班,67,15,52
111,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),392,172,220
111,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),136,59,77
111,公立,一般大學,0001,國立政治大學,04111059,會計學系,博士班,9,5,4
111,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),208,93,115
111,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),81,39,42
111,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,8,3,5
111,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),255,133,122
111,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),75,53,22
111,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,27,23,4
111,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),376,160,216
111,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),74,24,50
111,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,7,5,2
111,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),231,115,116
111,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),78,37,41
111,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,16,13,3
111,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),246,94,152
111,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),451,183,268
111,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,55,31,24
111,公立,一般大學,0001,國立政治大學,04131062,經營管理碩士學程全球華商班,碩士在職專班,79,43,36
111,公立,一般大學,0001,國立政治大學,04131062,經營管理碩士學程高階經營班,碩士在職專班,490,283,207
111,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),131,65,66
111,公立,一般大學,0001,國立政治大學,04131091,創新國際學院學士班,學士班(日間),115,42,73
111,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),190,61,129
111,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),99,47,52
111,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,博士班,16,8,8
111,公立,一般大學,0001,國立政治大學,04134042,行政管理碩士學程,碩士在職專班,249,83,166
111,公立,一般大學,0001,國立政治大學,04134042,行政管理碩士學程現役軍人營區碩士在職專班,碩士在職專班,67,46,21
111,公立,一般大學,0001,國立政治大學,04134042,行政管理碩士學程領導決策現役軍人營區碩士在職專班,碩士在職專班,25,20,5
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),397,168,229
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),121,50,71
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,博士班,9,3,6
111,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),251,60,191
111,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),165,59,106
111,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,博士班,25,12,13
111,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),741,327,414
111,公立,一般大學,0001,國立政治大學,04211074,法律科際整合研究所,碩士班(日間),92,46,46
111,公立,一般大學,0001,國立政治大學,04211075,法學院碩士在職專班,碩士在職專班,272,134,138
111,公立,一般大學,0001,國立政治大學,04212073,法律學系,碩士班(日間),245,123,122
111,公立,一般大學,0001,國立政治大學,04212073,法律學系,博士班,40,27,13
111,公立,一般大學,0001,國立政治大學,05199083,神經科學研究所,碩士班(日間),4,1,3
111,公立,一般大學,0001,國立政治大學,05331077,應用物理研究所,碩士班(日間),19,17,2
111,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),183,137,46
111,公立,一般大學,0001,國立政治大學,05411078,應用數學系,碩士班(日間),54,46,8
111,公立,一般大學,0001,國立政治大學,05411078,應用數學系,博士班,8,6,2
111,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),234,119,115
111,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),66,49,17
111,公立,一般大學,0001,國立政治大學,05421079,統計學系,博士班,6,4,2
111,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),348,180,168
111,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),110,51,59
111,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,博士班,49,37,12
111,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),236,176,60
111,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),167,128,39
111,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士在職專班,97,71,26
111,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,博士班,12,8,4
111,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,15,12,3
111,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),54,18,36
111,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),60,22,38
111,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,博士班,15,5,10
111,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),184,51,133
111,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),116,19,97
111,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,63,21,42
111,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系教育行政碩士在職專班,碩士在職專班,59,11,48
111,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系課程與教學碩士在職專班,碩士在職專班,135,18,117
111,公立,一般大學,0002,國立清華大學,01111112,竹師教育學院學士班,學士班(日間),135,58,77
111,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),158,27,131
111,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,碩士班(日間),59,4,55
111,公立,一般大學,0002,國立清華大學,01113110,學前特殊教育碩士在職學位學程,碩士在職專班,10,0,10
111,公立,一般大學,0002,國立清華大學,01115124,華德福教育碩士在職學位學程,碩士在職專班,24,4,20
111,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),162,10,152
111,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),68,7,61
111,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士在職專班,65,3,62
111,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),76,42,34
111,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士在職專班,76,20,56
111,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所數學教育教師碩士在職專班,碩士在職專班,4,1,3
111,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),174,51,123
111,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),36,3,33
111,公立,一般大學,0002,國立清華大學,01141098,藝術與設計學系美勞教師碩士在職專班,碩士在職專班,53,2,51
111,公立,一般大學,0002,國立清華大學,01141127,運動科學系,學士班(日間),198,113,85
111,公立,一般大學,0002,國立清華大學,01141127,運動科學系,碩士班(日間),48,22,26
111,公立,一般大學,0002,國立清華大學,01141127,運動科學系,碩士在職專班,47,22,25
111,公立,一般大學,0002,國立清華大學,01199130,竹師教育學院跨領域STEAM教育碩士在職專班,碩士在職專班,29,8,21
111,公立,一般大學,0002,國立清華大學,02111136,科技藝術研究所,碩士班(日間),6,4,2
