學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
114,私立,一般大學,1014,義守大學,學士班(日間),大韓民國(南韓),其他亞洲地區,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),日本,其他亞洲地區,88,39,49,88,39,49,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),加拿大,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),尼加拉瓜,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),尼泊爾聯邦民主共和國,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),印度,南亞,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),印度尼西亞共和國,東協,260,125,135,193,97,96,67,28,39,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),吐瓦魯,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),西班牙王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),宏都拉斯共和國,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),貝里斯,中南美洲,19,6,13,19,6,13,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),南非共和國,非洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),香港,港澳,175,107,68,0,0,0,0,0,0,175,107,68,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),海地共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),新加坡共和國,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),聖克里斯多福及尼維斯,中南美洲,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),澳門,港澳,14,13,1,0,0,0,0,0,0,14,13,1,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),史瓦帝尼王國,非洲,8,2,6,8,2,6,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),瓜地馬拉共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),吉爾吉斯,其他亞洲地區,15,5,10,15,5,10,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),奈及利亞聯邦共和國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),肯亞共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),美國,北美洲,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),泰國,東協,68,32,36,68,32,36,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),馬來西亞,東協,61,39,22,26,15,11,35,24,11,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),馬紹爾群島共和國,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),菲律賓共和國,東協,51,26,25,51,26,25,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),象牙海岸共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),越南社會主義共和國,東協,517,178,339,516,178,338,1,0,1,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),聖露西亞,中南美洲,20,3,17,20,3,17,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),蒙古國,其他亞洲地區,11,8,3,11,8,3,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,學士班(日間),摩洛哥王國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),史瓦帝尼王國,非洲,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),印度尼西亞共和國,東協,8,1,7,8,1,7,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),吐瓦魯,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),泰國,東協,10,1,9,10,1,9,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),菲律賓共和國,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),越南社會主義共和國,東協,39,14,25,39,14,25,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),蒙古國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),大陸地區,大陸地區,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
114,私立,一般大學,1014,義守大學,碩士班(日間),巴勒斯坦,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),印度,南亞,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,私立,一般大學,1014,義守大學,碩士班(日間),香港,港澳,5,4,1,0,0,0,0,0,0,5,4,1,0,0,0
