學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,私立,一般大學,1006,中國文化大學,04143013,廣告學系,學士班(日間),5,2,3,1.02
111,私立,一般大學,1006,中國文化大學,04143027,行銷學士學位學程,學士班(日間),2,0,2,2.86
111,私立,一般大學,1006,中國文化大學,04191014,全球商務學士學位學程,學士班(日間),84,46,38,37.00
111,私立,一般大學,1006,中國文化大學,05411114,應用數學系,學士班(日間),1,0,1,0.43
111,私立,一般大學,1006,中國文化大學,06131021,資訊工程學系,學士班(日間),5,4,1,1.14
111,私立,一般大學,1006,中國文化大學,06132006,資訊管理學系,學士班(日間),2,1,1,0.34
111,私立,一般大學,1006,中國文化大學,07111028,化學工程與材料工程學系,學士班(日間),1,1,0,0.31
111,私立,一般大學,1006,中國文化大學,07141085,電機工程學系,學士班(日間),1,1,0,0.30
111,私立,一般大學,1006,中國文化大學,07151107,機械工程學系,學士班(日間),3,3,0,0.91
111,私立,一般大學,1006,中國文化大學,07311068,建築及都市設計學系,學士班(日間),4,4,0,1.57
111,私立,一般大學,1006,中國文化大學,07312103,景觀學系,學士班(日間),1,1,0,0.58
111,私立,一般大學,1006,中國文化大學,07313118,都市計劃與開發管理學系,學士班(日間),2,1,1,1.12
111,私立,一般大學,1006,中國文化大學,08211054,森林暨自然保育學系,學士班(日間),1,1,0,0.46
111,私立,一般大學,1006,中國文化大學,09299082,社會福利學系,學士班(日間),1,0,1,0.23
111,私立,一般大學,1006,中國文化大學,10111090,生活應用科學系,學士班(日間),38,31,7,15.02
111,私立,一般大學,1006,中國文化大學,10142093,運動與健康促進學系,學士班(日間),4,4,0,1.49
111,私立,一般大學,1006,中國文化大學,10151005,觀光事業學系,學士班(日間),73,30,43,14.01
111,私立,一般大學,1007,逢甲大學,02122006,創新設計學士學位學程,學士班(日間),1,1,0,33.33
111,私立,一般大學,1007,逢甲大學,02311002,外國語文學系,學士班(日間),23,5,18,5.16
111,私立,一般大學,1007,逢甲大學,02322001,中國文學系,學士班(日間),9,5,4,3.95
111,私立,一般大學,1007,逢甲大學,03111009,經濟學系,學士班(日間),2,1,1,0.45
111,私立,一般大學,1007,逢甲大學,03111012,合作經濟暨社會事業經營學系,學士班(日間),9,5,4,3.83
111,私立,一般大學,1007,逢甲大學,04111017,會計學系,學士班(日間),1,0,1,0.13
111,私立,一般大學,1007,逢甲大學,04121025,財務金融學系,學士班(日間),19,5,14,2.61
111,私立,一般大學,1007,逢甲大學,04121028,財務工程與精算學士學位學程,學士班(日間),11,3,8,5.31
111,私立,一般大學,1007,逢甲大學,04131019,企業管理學系,學士班(日間),39,24,15,6.98
111,私立,一般大學,1007,逢甲大學,04131021,國際企業管理全英語學士學位學程,學士班(日間),46,15,31,36.22
111,私立,一般大學,1007,逢甲大學,04141024,國際經營與貿易學系,學士班(日間),40,18,22,5.24
111,私立,一般大學,1007,逢甲大學,04141024,國際經營與貿易學系國際企業管理全英語學士班,學士班(日間),29,12,17,23.02
111,私立,一般大學,1007,逢甲大學,04143033,行銷學系,學士班(日間),43,15,28,7.72
111,私立,一般大學,1007,逢甲大學,04199035,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,學士班(日間),4,1,3,3.67
111,私立,一般大學,1007,逢甲大學,04199092,美國加州聖荷西州立大學商學大數據分析雙學士學位學程,學士班(日間),1,0,1,0.88
111,私立,一般大學,1007,逢甲大學,05411039,應用數學系,學士班(日間),2,2,0,0.52
111,私立,一般大學,1007,逢甲大學,05421040,統計學系,學士班(日間),2,1,1,0.47
111,私立,一般大學,1007,逢甲大學,06131048,資訊工程學系,學士班(日間),33,29,4,3.27
111,私立,一般大學,1007,逢甲大學,07111068,化學工程學系,學士班(日間),4,2,2,0.84
111,私立,一般大學,1007,逢甲大學,07112069,材料科學與工程學系,學士班(日間),1,1,0,0.20
111,私立,一般大學,1007,逢甲大學,07121075,環境工程與科學學系,學士班(日間),3,2,1,0.72
111,私立,一般大學,1007,逢甲大學,07141050,通訊工程學系,學士班(日間),1,1,0,0.20
111,私立,一般大學,1007,逢甲大學,07141101,光電科學與工程學系,學士班(日間),1,1,0,0.22
111,私立,一般大學,1007,逢甲大學,07151061,機械與電腦輔助工程學系,學士班(日間),4,4,0,0.77
111,私立,一般大學,1007,逢甲大學,07162059,航太與系統工程學系,學士班(日間),4,3,1,0.84
111,私立,一般大學,1007,逢甲大學,07191072,工業工程與系統管理學系,學士班(日間),3,1,2,0.71
111,私立,一般大學,1007,逢甲大學,07311081,建築學士學位學程,學士班(日間),1,0,1,0.29
111,私立,一般大學,1007,逢甲大學,07311083,建築專業學院學士班,學士班(日間),4,0,4,1.65
111,私立,一般大學,1007,逢甲大學,07313087,都市計畫與空間資訊學系,學士班(日間),1,1,0,0.25
111,私立,一般大學,1007,逢甲大學,07321063,土木工程學系,學士班(日間),1,1,0,0.23
111,私立,一般大學,1007,逢甲大學,10411093,運輸與物流學系,學士班(日間),14,7,7,3.03
111,私立,一般大學,1007,逢甲大學,99999094,全校國際生大一不分系學士班,學士班(日間),44,23,21,100.00
111,私立,一般大學,1008,靜宜大學,02311004,英國語文學系,學士班(日間),12,2,10,2.71
111,私立,一般大學,1008,靜宜大學,02311005,西班牙語文學系,學士班(日間),4,1,3,1.08
111,私立,一般大學,1008,靜宜大學,02311006,日本語文學系,學士班(日間),3,0,3,0.51
111,私立,一般大學,1008,靜宜大學,02311007,寰宇外語教育學士學位學程,學士班(日間),11,4,7,8.21
111,私立,一般大學,1008,靜宜大學,02321002,台灣文學系,學士班(日間),1,0,1,0.45
111,私立,一般大學,1008,靜宜大學,03211008,大眾傳播學系,學士班(日間),15,1,14,5.34
111,私立,一般大學,1008,靜宜大學,04111011,會計學系,學士班(日間),3,2,1,0.48
111,私立,一般大學,1008,靜宜大學,04121019,財務金融學系,學士班(日間),6,3,3,0.87
111,私立,一般大學,1008,靜宜大學,04131012,企業管理學系,學士班(日間),23,6,17,3.57
111,私立,一般大學,1008,靜宜大學,04131015,國際企業學系,學士班(日間),37,19,18,5.43
111,私立,一般大學,1008,靜宜大學,04191010,寰宇管理學士學位學程,學士班(日間),66,25,41,32.67
111,私立,一般大學,1008,靜宜大學,05191031,食品營養學系,學士班(日間),4,2,2,1.01
111,私立,一般大學,1008,靜宜大學,06131027,資訊管理學系,學士班(日間),4,2,2,0.82
111,私立,一般大學,1008,靜宜大學,06132009,資訊傳播工程學系,學士班(日間),24,20,4,4.62
111,私立,一般大學,1008,靜宜大學,07141030,資訊工程學系,學士班(日間),9,9,0,1.76
111,私立,一般大學,1008,靜宜大學,07141042,國際資訊學士學位學程,學士班(日間),20,13,7,100.00
111,私立,一般大學,1008,靜宜大學,09161035,化粧品科學系,學士班(日間),37,7,30,8.19
111,私立,一般大學,1008,靜宜大學,10151034,觀光事業學系,學士班(日間),109,55,54,15.71
111,私立,一般大學,1014,義守大學,02111001,電影與電視學系,學士班(日間),20,7,13,7.19
111,私立,一般大學,1014,義守大學,02112005,數位多媒體設計學系,學士班(日間),14,11,3,7.33
111,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理學系,學士班(日間),65,17,48,53.28
111,私立,一般大學,1014,義守大學,02123006,創意商品設計學系,學士班(日間),5,3,2,3.23
111,私立,一般大學,1014,義守大學,02311002,應用英語學系,學士班(日間),40,11,29,13.79
111,私立,一般大學,1014,義守大學,03211008,大眾傳播學系,學士班(日間),22,9,13,7.19
111,私立,一般大學,1014,義守大學,03214063,傳播產製英語學士學位學程,學士班(日間),7,3,4,58.33
