學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
111,私立,一般大學,1006,中國文化大學,02152008,中國戲劇學系,學士班(日間),3,2,1,1,0,1,2.09
111,私立,一般大學,1006,中國文化大學,02152009,舞蹈學系,學士班(日間),4,0,4,3,0,3,5.60
111,私立,一般大學,1006,中國文化大學,02152043,戲劇學系,學士班(日間),10,5,5,7,3,4,6.03
111,私立,一般大學,1006,中國文化大學,02221098,史學系,學士班(日間),3,3,0,9,4,5,6.25
111,私立,一般大學,1006,中國文化大學,02231081,哲學系,學士班(日間),0,0,0,7,5,2,4.67
111,私立,一般大學,1006,中國文化大學,02311010,韓國語文學系,學士班(日間),5,0,5,24,1,23,6.71
111,私立,一般大學,1006,中國文化大學,02311047,俄國語文學系,學士班(日間),0,0,0,2,1,1,1.49
111,私立,一般大學,1006,中國文化大學,02311052,英國語文學系,學士班(日間),9,4,5,5,3,2,3.69
111,私立,一般大學,1006,中國文化大學,02311077,日本語文學系,學士班(日間),3,1,2,11,6,5,2.84
111,私立,一般大學,1006,中國文化大學,02311079,德國語文學系,學士班(日間),0,0,0,1,1,0,5.88
111,私立,一般大學,1006,中國文化大學,02311089,法國語文學系,學士班(日間),1,0,1,1,0,1,1.09
111,私立,一般大學,1006,中國文化大學,02322001,中國文學系,學士班(日間),2,1,1,15,8,7,3.15
111,私立,一般大學,1006,中國文化大學,03111099,經濟學系,學士班(日間),0,0,0,1,1,0,0.27
111,私立,一般大學,1006,中國文化大學,03121061,政治學系,學士班(日間),2,1,1,5,4,1,3.52
111,私立,一般大學,1006,中國文化大學,03131004,心理輔導學系,學士班(日間),6,3,3,7,3,4,5.53
111,私立,一般大學,1006,中國文化大學,03142088,地理學系,學士班(日間),0,0,0,9,3,6,4.84
111,私立,一般大學,1006,中國文化大學,03199051,勞動暨人力資源學系,學士班(日間),1,1,0,0,0,0,0.27
111,私立,一般大學,1006,中國文化大學,03211036,大眾傳播學系,學士班(日間),20,4,16,20,9,11,7.22
111,私立,一般大學,1006,中國文化大學,03212033,新聞學系,學士班(日間),3,1,2,4,3,1,1.61
111,私立,一般大學,1006,中國文化大學,03214101,資訊傳播學系,學士班(日間),2,0,2,4,2,2,1.34
111,私立,一般大學,1006,中國文化大學,04111065,會計學系,學士班(日間),1,0,1,0,0,0,0.24
111,私立,一般大學,1006,中國文化大學,04121037,財務金融學系,學士班(日間),3,1,2,2,2,0,0.74
111,私立,一般大學,1006,中國文化大學,04131015,國際企業管理學系,學士班(日間),12,7,5,2,1,1,2.19
111,私立,一般大學,1006,中國文化大學,04134012,行政管理學系,學士班(日間),1,0,1,9,7,2,2.70
111,私立,一般大學,1006,中國文化大學,04141041,國際貿易學系,學士班(日間),7,2,5,1,1,0,1.33
111,私立,一般大學,1006,中國文化大學,04143013,廣告學系,學士班(日間),4,1,3,9,6,3,2.64
111,私立,一般大學,1006,中國文化大學,04191014,全球商務學士學位學程,學士班(日間),11,6,5,1,0,1,5.29
111,私立,一般大學,1006,中國文化大學,05111091,生命科學系,學士班(日間),1,1,0,2,2,0,1.75
111,私立,一般大學,1006,中國文化大學,05191057,保健營養學系,學士班(日間),2,2,0,8,3,5,4.61
111,私立,一般大學,1006,中國文化大學,05321112,地質學系,學士班(日間),1,1,0,1,0,1,1.39
111,私立,一般大學,1006,中國文化大學,05331115,光電物理學系,學士班(日間),0,0,0,1,1,0,0.76
111,私立,一般大學,1006,中國文化大學,05411114,應用數學系,學士班(日間),1,0,1,1,1,0,0.85
