學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,公立,一般大學,0001,國立政治大學,學士班(日間),土耳其共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),大陸地區,大陸地區,5,1,4,0,0,0,0,0,0,0,0,0,5,1,4
111,公立,一般大學,0001,國立政治大學,學士班(日間),大韓民國(南韓),其他亞洲地區,35,19,16,29,17,12,6,2,4,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),巴拉圭,中南美洲,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),加拿大,北美洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),尼加拉瓜,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),瓜地馬拉共和國,中南美洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),印度,南亞,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),印度尼西亞共和國,東協,73,18,55,18,8,10,55,10,45,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,13,3,10,13,3,10,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),貝里斯,中南美洲,6,3,3,6,3,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),拉脫維亞共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),阿根廷,中南美洲,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),南非共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),南蘇丹共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,91,44,47,0,0,0,0,0,0,91,44,47,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),海地共和國,中南美洲,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),秘魯共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),智利,中南美洲,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),越南社會主義共和國,東協,44,15,29,15,3,12,29,12,17,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),新加坡共和國,東協,5,1,4,2,0,2,3,1,2,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),聖露西亞,中南美洲,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),蒙古國,其他亞洲地區,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),德意志聯邦共和國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),緬甸,東協,9,2,7,0,0,0,9,2,7,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),澳門,港澳,83,34,49,0,0,0,0,0,0,83,34,49,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),日本,其他亞洲地區,60,18,42,47,14,33,13,4,9,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),以色列,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),委內瑞拉共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),法國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),美國,北美洲,6,4,2,4,3,1,2,1,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),英國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),泰國,東協,36,8,28,25,6,19,11,2,9,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),馬來西亞,東協,243,75,168,18,2,16,225,73,152,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),菲律賓共和國,東協,6,2,4,4,2,2,2,0,2,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),塞內加爾共和國,非洲,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),土耳其共和國,其他亞洲地區,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),巴西聯邦共和國,中南美洲,4,2,2,3,2,1,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),以色列,其他亞洲地區,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),史瓦帝尼王國,非洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),匈牙利共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),西班牙王國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),法國,歐洲,12,3,9,12,3,9,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),俄羅斯聯邦,其他亞洲地區,9,4,5,9,4,5,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),美國,北美洲,56,34,22,52,31,21,4,3,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),英國,歐洲,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),泰國,東協,37,15,22,33,15,18,4,0,4,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),馬來西亞,東協,82,29,53,27,12,15,55,17,38,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),荷蘭王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),菲律賓共和國,東協,5,2,3,4,1,3,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),塞爾維亞共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),義大利共和國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),聖露西亞,中南美洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),蒙古國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),墨西哥合眾國,中南美洲,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),澳大利亞,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),薩爾瓦多,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),大陸地區,大陸地區,122,38,84,0,0,0,0,0,0,0,0,0,122,38,84
111,公立,一般大學,0001,國立政治大學,碩士班(日間),大韓民國(南韓),其他亞洲地區,14,11,3,14,11,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),厄瓜多共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),巴拉圭,中南美洲,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),巴拿馬共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),日本,其他亞洲地區,19,7,12,18,6,12,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),比利時王國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),加拿大,北美洲,7,5,2,4,3,1,3,2,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),尼加拉瓜,中南美洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),瓜地馬拉共和國,中南美洲,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),印度,南亞,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),印度尼西亞共和國,東協,18,9,9,15,8,7,3,1,2,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),多明尼加共和國,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),宏都拉斯共和國,中南美洲,7,5,2,7,5,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),貝里斯,中南美洲,9,4,5,8,3,5,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),帛琉共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),波蘭共和國,歐洲,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),芬蘭共和國,歐洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),阿根廷,中南美洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),科索沃共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),香港,港澳,96,44,52,0,0,0,0,0,0,96,44,52,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),哥倫比亞共和國,中南美洲,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),烏克蘭,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),秘魯共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),馬拉威共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),捷克共和國,歐洲,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),斯洛伐克共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),越南社會主義共和國,東協,21,11,10,20,10,10,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),新加坡共和國,東協,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),瑞士聯邦,歐洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),聖克里斯多福及尼維斯,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),葡萄牙共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),德意志聯邦共和國,歐洲,11,8,3,11,8,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),緬甸,東協,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),澳門,港澳,20,10,10,0,0,0,0,0,0,20,10,10,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),羅馬尼亞,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,土耳其共和國,其他亞洲地區,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,巴西聯邦共和國,中南美洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,巴拉圭,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,日本,其他亞洲地區,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,比利時王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,史瓦帝尼王國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,尼加拉瓜,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,白俄羅斯共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,匈牙利共和國,歐洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,衣索比亞聯邦民主共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,孟加拉人民共和國,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,波蘭共和國,歐洲,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,俄羅斯聯邦,其他亞洲地區,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,美國,北美洲,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,泰國,東協,11,4,7,11,4,7,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,紐西蘭,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,斯洛伐克共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,越南社會主義共和國,東協,8,1,7,8,1,7,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,德意志聯邦共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,大陸地區,大陸地區,90,45,45,0,0,0,0,0,0,0,0,0,90,45,45
111,公立,一般大學,0001,國立政治大學,博士班,大韓民國(南韓),其他亞洲地區,15,6,9,15,6,9,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,巴基斯坦,南亞,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,布吉納法索,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,印度,南亞,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,印度尼西亞共和國,東協,20,8,12,20,8,12,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,多明尼加共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,西班牙王國,歐洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,拉脫維亞共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,英國,歐洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,香港,港澳,12,9,3,0,0,0,0,0,0,12,9,3,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,哥倫比亞共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,馬來西亞,東協,22,12,10,13,7,6,9,5,4,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,捷克共和國,歐洲,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,菲律賓共和國,東協,8,5,3,8,5,3,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,新加坡共和國,東協,3,1,2,2,1,1,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,聖文森(及格瑞那丁),中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,葡萄牙共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,蒙古國,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,澳大利亞,其他亞洲地區,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,博士班,澳門,港澳,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0
111,公立,一般大學,0002,國立清華大學,學士班(日間),大陸地區,大陸地區,5,2,3,0,0,0,0,0,0,0,0,0,5,2,3
111,公立,一般大學,0002,國立清華大學,學士班(日間),大韓民國(南韓),其他亞洲地區,32,10,22,27,8,19,5,2,3,0,0,0,0,0,0
