學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0005,國立成功大學,學士班(日間),女,4604,189,187,22,0,133,2,2,1,1,0,8,0,6,3,7,2,2,0,2
111,公立,一般大學,0005,國立成功大學,碩士班(日間),女,2649,245,245,17,11,74,12,58,3,8,0,0,29,10,17,3,3,0,0,0
111,公立,一般大學,0005,國立成功大學,碩士在職專班,女,601,127,126,10,0,17,2,38,5,20,0,0,14,0,18,0,2,1,0,1
111,公立,一般大學,0005,國立成功大學,博士班,女,626,122,121,6,5,19,5,17,7,24,0,0,18,1,5,2,12,1,0,1
111,公立,一般大學,0006,國立中興大學,學士班(日間),男,4643,193,193,17,1,79,16,7,0,0,0,19,0,8,6,4,36,0,0,0
111,公立,一般大學,0006,國立中興大學,學士班(進修),男,399,33,33,2,1,3,1,11,0,1,1,1,0,3,5,1,3,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士班(日間),男,2170,203,203,13,10,10,0,31,0,5,3,5,31,7,18,8,62,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士在職專班,男,1114,261,261,8,3,1,0,106,0,37,0,5,62,0,18,2,19,0,0,0
111,公立,一般大學,0006,國立中興大學,博士班,男,655,131,131,7,3,0,1,27,0,19,1,5,52,0,7,1,8,0,0,0
111,公立,一般大學,0006,國立中興大學,學士班(日間),女,3558,131,131,10,6,52,2,1,0,1,0,27,0,4,6,0,22,0,0,0
111,公立,一般大學,0006,國立中興大學,學士班(進修),女,493,49,49,8,3,3,1,14,2,0,0,3,0,0,6,2,7,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士班(日間),女,1498,181,181,20,6,4,2,38,1,6,0,1,34,6,11,10,42,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士在職專班,女,619,119,119,10,0,0,0,35,4,21,0,1,25,0,9,3,11,0,0,0
111,公立,一般大學,0006,國立中興大學,博士班,女,314,65,65,3,1,0,0,11,3,11,0,2,18,1,9,0,6,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,學士班(日間),男,5489,169,169,9,1,62,17,6,0,0,8,35,0,5,6,14,6,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),男,4791,305,305,17,6,45,4,59,0,5,17,22,88,10,9,15,8,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,男,1173,245,245,10,3,2,1,99,0,36,0,4,72,1,11,6,0,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,博士班,男,1790,364,364,22,7,12,4,93,0,48,14,14,128,6,9,5,2,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,學士班(日間),女,3116,94,94,12,1,30,6,1,1,1,0,23,0,5,3,10,1,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),女,2826,283,283,24,9,27,5,59,4,17,0,23,70,16,18,7,4,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,女,699,114,114,7,1,2,0,42,6,19,0,5,29,0,1,1,1,0,0,0
111,公立,一般大學,0007,國立陽明交通大學,博士班,女,823,200,200,23,7,5,2,54,6,28,0,11,48,1,12,2,1,0,0,0
111,公立,一般大學,0008,國立中央大學,學士班(日間),男,3823,124,124,10,3,77,17,3,0,0,0,7,0,3,2,2,0,0,0,0
111,公立,一般大學,0008,國立中央大學,碩士班(日間),男,2439,173,173,2,10,71,0,27,0,1,2,7,34,7,4,8,0,0,0,0
111,公立,一般大學,0008,國立中央大學,碩士在職專班,男,923,190,190,4,3,12,0,99,0,23,0,4,33,0,11,1,0,0,0,0
111,公立,一般大學,0008,國立中央大學,博士班,男,713,142,142,4,2,13,1,29,0,21,3,6,53,0,10,0,0,0,0,0
