學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
114,公立,一般大學,0001,國立政治大學,學士班(日間),2011,1935,96.22
114,公立,一般大學,0002,國立清華大學,學士班(日間),1932,1841,95.29
114,公立,一般大學,0003,國立臺灣大學,學士班(日間),3383,3252,96.13
114,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1754,1672,95.32
114,公立,一般大學,0005,國立成功大學,學士班(日間),2560,2417,94.41
114,公立,一般大學,0006,國立中興大學,學士班(日間),1824,1706,93.53
114,公立,一般大學,0006,國立中興大學,學士班(進修),169,132,78.11
114,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1943,1816,93.46
114,公立,一般大學,0008,國立中央大學,學士班(日間),1464,1371,93.65
114,公立,一般大學,0009,國立中山大學,學士班(日間),1125,1056,93.87
114,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1355,1263,93.21
114,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),168,134,79.76
114,公立,一般大學,0013,國立中正大學,學士班(日間),1511,1409,93.25
114,公立,一般大學,0014,國立高雄師範大學,學士班(日間),897,824,91.86
114,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1196,1123,93.90
114,公立,一般大學,0017,國立臺北大學,學士班(日間),1366,1311,95.97
114,公立,一般大學,0017,國立臺北大學,學士班(進修),386,272,70.47
114,公立,一般大學,0018,國立嘉義大學,學士班(日間),1817,1667,91.74
114,公立,一般大學,0018,國立嘉義大學,學士班(進修),326,273,83.74
114,公立,一般大學,0019,國立高雄大學,學士班(日間),1082,960,88.72
114,公立,一般大學,0019,國立高雄大學,學士班(進修),48,37,77.08
114,公立,一般大學,0020,國立東華大學,學士班(日間),1594,1452,91.09
114,公立,一般大學,0021,國立暨南國際大學,學士班(日間),1099,1014,92.27
114,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1372,1329,96.87
114,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1701,1631,95.88
114,公立,技專校院,0023,國立雲林科技大學,學士班(進修),55,41,74.55
114,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1731,1532,88.50
114,公立,技專校院,0024,國立屏東科技大學,學士班(進修),208,168,80.77
114,公立,技專校院,0025,國立臺北科技大學,五專,33,33,100.00
114,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1410,1363,96.67
114,公立,技專校院,0025,國立臺北科技大學,學士班(進修),142,138,97.18
114,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),340,316,92.94
114,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),517,490,94.78
114,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),431,394,91.42
114,公立,一般大學,0030,國立臺東大學,學士班(日間),885,780,88.14
114,公立,一般大學,0030,國立臺東大學,學士班(進修),118,102,86.44
114,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1056,954,90.34
114,公立,一般大學,0031,國立宜蘭大學,學士班(進修),88,65,73.86
114,公立,一般大學,0032,國立聯合大學,學士班(日間),1450,1306,90.07
114,公立,一般大學,0032,國立聯合大學,學士班(進修),216,167,77.31
114,公立,技專校院,0033,國立虎尾科技大學,二專(日間),36,29,80.56
114,公立,技專校院,0033,國立虎尾科技大學,五專,90,88,97.78
114,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),1991,1877,94.27
114,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),702,570,81.20
114,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),133,121,90.98
114,公立,一般大學,0036,國立臺南大學,學士班(日間),938,884,94.24
114,公立,一般大學,0036,國立臺南大學,學士班(進修),28,21,75.00
114,公立,一般大學,0037,國立臺北教育大學,學士班(日間),759,715,94.20
114,公立,一般大學,0039,國立臺中教育大學,學士班(日間),760,712,93.68
114,公立,技專校院,0042,國立澎湖科技大學,五專,14,13,92.86
114,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),444,396,89.19
114,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),45,29,64.44
114,公立,技專校院,0043,國立勤益科技大學,二專(進修),106,63,59.43
114,公立,技專校院,0043,國立勤益科技大學,學士班(日間),1693,1550,91.55
114,公立,技專校院,0043,國立勤益科技大學,學士班(進修),939,777,82.75
114,公立,一般大學,0044,國立體育大學,學士班(日間),481,429,89.19
114,公立,一般大學,0044,國立體育大學,學士班(進修),50,47,94.00
114,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),1134,1077,94.97
114,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),201,178,88.56
114,公立,技專校院,0047,國立高雄餐旅大學,五專,54,53,98.15
114,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),617,599,97.08
114,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),187,170,90.91
114,公立,一般大學,0048,國立金門大學,學士班(日間),567,498,87.83
114,公立,一般大學,0048,國立金門大學,學士班(進修),183,148,80.87
114,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),566,481,84.98
114,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),79,56,70.89
114,公立,技專校院,0050,國立臺中科技大學,二專(進修),221,161,72.85
114,公立,技專校院,0050,國立臺中科技大學,五專,763,725,95.02
114,公立,技專校院,0050,國立臺中科技大學,學士班(日間),2045,1913,93.55
