學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
111,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(日間),75,67,89.33
111,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(進修),21,12,57.14
111,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,二專(進修),28,23,82.14
111,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,五專,33,29,87.88
111,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(日間),1252,1021,81.55
111,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(進修),418,282,67.46
111,私立,技專校院,1075,文藻學校財團法人文藻外語大學,五專,411,393,95.62
111,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(日間),1025,897,87.51
111,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(進修),341,228,66.86
111,私立,技專校院,1076,華夏學校財團法人華夏科技大學,二專(進修),15,9,60.00
111,私立,技專校院,1076,華夏學校財團法人華夏科技大學,五專,95,87,91.58
111,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(日間),239,195,81.59
111,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(進修),357,290,81.23
111,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,五專,243,221,90.95
111,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(日間),443,407,91.87
111,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(進修),92,63,68.48
111,私立,技專校院,1078,致理學校財團法人致理科技大學,五專,328,288,87.80
111,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(日間),1571,1486,94.59
111,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(進修),738,559,75.75
111,私立,一般大學,1079,康寧學校財團法人康寧大學,二專(進修),93,87,93.55
111,私立,一般大學,1079,康寧學校財團法人康寧大學,五專,513,459,89.47
111,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(日間),50,41,82.00
111,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(進修),96,87,90.63
111,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,五專,253,218,86.17
111,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(日間),439,362,82.46
111,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(進修),623,521,83.63
111,私立,技專校院,1081,東方學校財團法人東方設計大學,二專(進修),32,22,68.75
111,私立,技專校院,1081,東方學校財團法人東方設計大學,五專,36,24,66.67
111,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(日間),41,10,24.39
111,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(進修),128,52,40.63
111,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,學士班(日間),377,226,59.95
111,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(日間),22,21,95.45
111,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(進修),48,38,79.17
111,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,五專,126,101,80.16
111,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(日間),664,512,77.11
111,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(進修),366,307,83.88
111,私立,技專校院,1084,亞東學校財團法人亞東科技大學,學士班(日間),923,838,90.79
111,私立,技專校院,1084,亞東學校財團法人亞東科技大學,學士班(進修),50,49,98.00
111,私立,一般大學,1125,中信學校財團法人中信金融管理學院,學士班(日間),249,204,81.93
111,私立,技專校院,1148,大漢技術學院,二專(進修),58,47,81.03
111,私立,技專校院,1148,大漢技術學院,學士班(日間),29,24,82.76
111,私立,技專校院,1148,大漢技術學院,學士班(進修),194,143,73.71
111,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,五專,29,25,86.21
111,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(日間),206,180,87.38
111,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(進修),457,416,91.03
111,私立,技專校院,1183,黎明技術學院,五專,68,62,91.18
111,私立,技專校院,1183,黎明技術學院,學士班(日間),644,494,76.71
111,私立,技專校院,1183,黎明技術學院,學士班(進修),491,232,47.25
111,私立,技專校院,1185,德育學校財團法人德育護理健康學院,二專(進修),104,87,83.65
111,私立,技專校院,1185,德育學校財團法人德育護理健康學院,五專,206,174,84.47
111,私立,技專校院,1185,德育學校財團法人德育護理健康學院,學士班(日間),347,292,84.15
111,私立,技專校院,1185,德育學校財團法人德育護理健康學院,學士班(進修),497,455,91.55
111,私立,技專校院,1188,大同技術學院,二專(進修),29,19,65.52
111,私立,技專校院,1188,大同技術學院,五專,8,5,62.50
111,私立,技專校院,1188,大同技術學院,學士班(日間),56,43,76.79
111,私立,技專校院,1188,大同技術學院,學士班(進修),204,148,72.55
111,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(日間),158,148,93.67
111,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(進修),38,36,94.74
111,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,學士班(日間),4,3,75.00
111,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,二專(進修),78,67,85.90
111,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,五專,867,805,92.85
111,私立,技專校院,1283,仁德醫護管理專科學校,二專(進修),255,136,53.33
111,私立,技專校院,1283,仁德醫護管理專科學校,五專,1130,1025,90.71
111,私立,技專校院,1284,樹人醫護管理專科學校,二專(進修),220,191,86.82
111,私立,技專校院,1284,樹人醫護管理專科學校,五專,1466,1333,90.93
111,私立,技專校院,1285,慈惠醫護管理專科學校,二專(日間),46,38,82.61
111,私立,技專校院,1285,慈惠醫護管理專科學校,二專(進修),107,79,73.83
111,私立,技專校院,1285,慈惠醫護管理專科學校,五專,434,379,87.33
111,私立,技專校院,1286,耕莘健康管理專科學校,二專(進修),59,52,88.14
111,私立,技專校院,1286,耕莘健康管理專科學校,五專,800,751,93.88
111,私立,技專校院,1287,敏惠醫護管理專科學校,二專(進修),33,31,93.94
111,私立,技專校院,1287,敏惠醫護管理專科學校,五專,766,722,94.26
111,私立,技專校院,1289,育英醫護管理專科學校,五專,372,344,92.47
111,私立,技專校院,1291,聖母醫護管理專科學校,二專(日間),17,15,88.24
111,私立,技專校院,1291,聖母醫護管理專科學校,二專(進修),29,19,65.52
111,私立,技專校院,1291,聖母醫護管理專科學校,五專,325,291,89.54
111,私立,技專校院,1292,新生醫護管理專科學校,二專(進修),37,30,81.08
111,私立,技專校院,1292,新生醫護管理專科學校,五專,1267,1176,92.82
111,私立,技專校院,1293,崇仁醫護管理專科學校,五專,629,578,91.89
111,私立,宗教研修學院,1R03,臺北基督學院,學士班(日間),17,14,82.35
111,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,學士班(日間),23,6,26.09
111,公立,一般大學,3002,臺北市立大學,學士班(日間),1233,1153,93.51
