學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
114,公立,一般大學,0001,國立政治大學,學士班(日間),土耳其共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),大韓民國(南韓),其他亞洲地區,21,10,11,15,9,6,6,1,5,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),巴拉圭,中南美洲,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),巴基斯坦,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),尼泊爾聯邦民主共和國,南亞,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),瓜地馬拉共和國,中南美洲,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),印度,南亞,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),印度尼西亞共和國,東協,105,34,71,21,7,14,84,27,57,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),吐瓦魯,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),貝里斯,中南美洲,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),帛琉共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),南非共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,60,35,25,0,0,0,0,0,0,60,35,25,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),哥斯大黎加共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),挪威王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),海地共和國,中南美洲,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),秘魯共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),智利,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),越南社會主義共和國,東協,53,12,41,26,5,21,27,7,20,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),新加坡共和國,東協,8,1,7,4,0,4,4,1,3,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
114,公立,一般大學,0001,國立政治大學,學士班(日間),德意志聯邦共和國,歐洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
