學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
111,1,公立,一般大學,0006,國立中興大學,碩士在職專班,男,1114,74,14,5,0,0,2,0,7,0,60,7,0,26,27,0
111,1,公立,一般大學,0006,國立中興大學,博士班,男,655,34,9,5,0,0,1,2,1,0,25,6,0,9,10,0
111,1,公立,一般大學,0006,國立中興大學,學士班(日間),女,3558,87,67,64,0,0,1,0,1,1,20,4,0,4,12,0
111,1,公立,一般大學,0006,國立中興大學,學士班(進修),女,493,23,3,3,0,0,0,0,0,0,20,2,0,12,6,0
111,1,公立,一般大學,0006,國立中興大學,碩士班(日間),女,1498,48,16,10,0,0,2,2,2,0,32,3,0,10,19,0
111,1,公立,一般大學,0006,國立中興大學,碩士在職專班,女,619,28,8,2,0,0,0,0,5,1,20,2,0,6,12,0
111,1,公立,一般大學,0006,國立中興大學,博士班,女,314,14,6,4,0,0,0,0,1,1,8,1,0,4,3,0
111,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),男,5489,137,81,80,0,0,1,0,0,0,56,1,0,48,7,0
111,1,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),男,4791,95,14,10,0,0,0,0,4,0,81,3,0,76,2,0
111,1,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,男,1173,53,8,8,0,0,0,0,0,0,45,5,0,40,0,0
111,1,公立,一般大學,0007,國立陽明交通大學,博士班,男,1790,70,5,2,0,0,0,2,1,0,65,3,0,61,1,0
111,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),女,3116,65,32,32,0,0,0,0,0,0,33,1,0,32,0,0
111,1,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),女,2826,66,17,12,0,0,2,1,2,0,49,2,0,46,1,0
