學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,74,44,30,92.50
112,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),88,46,42,90.72
112,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),9,6,3,1.80
112,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士班(日間),2,1,1,2.90
112,公立,一般大學,0001,國立政治大學,03143043,地政學系,博士班,1,1,0,5.88
112,公立,一般大學,0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),13,6,7,18.31
112,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,15,10,5,37.50
112,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),1,0,1,1.85
112,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),45,7,38,20.00
112,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),41,10,31,63.08
112,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),55,10,45,13.58
112,公立,一般大學,0001,國立政治大學,03211056,傳播學院博士班,博士班,22,10,12,45.83
112,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),30,6,24,14.49
112,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),5,0,5,5.38
112,公立,一般大學,0001,國立政治大學,03214051,新聞學系,博士班,0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,碩士班(日間),31,8,23,40.26
112,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),7,1,6,10.45
112,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,博士班,2,2,0,16.67
112,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),11,5,6,2.78
112,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),6,4,2,4.51
112,公立,一般大學,0001,國立政治大學,04111059,會計學系,博士班,1,0,1,25.00
112,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),13,7,6,6.13
112,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),3,2,1,3.30
112,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,2,1,1,16.67
