學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
113,公立,一般大學,0001,國立政治大學,學士班(日間),9801,3991,5810
113,公立,一般大學,0001,國立政治大學,碩士班(日間),4337,1904,2433
113,公立,一般大學,0001,國立政治大學,碩士在職專班,1864,902,962
113,公立,一般大學,0001,國立政治大學,博士班,897,482,415
113,公立,一般大學,0002,國立清華大學,學士班(日間),9307,5059,4248
113,公立,一般大學,0002,國立清華大學,碩士班(日間),5886,3513,2373
113,公立,一般大學,0002,國立清華大學,碩士在職專班,1415,517,898
113,公立,一般大學,0002,國立清華大學,博士班,1661,1158,503
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),17432,9688,7744
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),11647,6893,4754
113,公立,一般大學,0003,國立臺灣大學,碩士在職專班,1629,970,659
113,公立,一般大學,0003,國立臺灣大學,博士班,3779,2494,1285
113,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),8587,3899,4688
113,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),4407,1868,2539
113,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,2333,716,1617
113,公立,一般大學,0004,國立臺灣師範大學,博士班,1297,602,695
113,公立,一般大學,0005,國立成功大學,學士班(日間),12224,7449,4775
113,公立,一般大學,0005,國立成功大學,碩士班(日間),7625,4909,2716
113,公立,一般大學,0005,國立成功大學,碩士在職專班,1603,915,688
113,公立,一般大學,0005,國立成功大學,博士班,1929,1276,653
113,公立,一般大學,0006,國立中興大學,學士班(日間),8232,4632,3600
113,公立,一般大學,0006,國立中興大學,學士班(進修),809,342,467
113,公立,一般大學,0006,國立中興大學,碩士班(日間),3969,2348,1621
113,公立,一般大學,0006,國立中興大學,碩士在職專班,1777,1134,643
113,公立,一般大學,0006,國立中興大學,博士班,1058,688,370
113,公立,一般大學,0007,國立陽明交通大學,學士班(日間),8771,5600,3171
113,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),8725,5480,3245
113,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,1984,1236,748
113,公立,一般大學,0007,國立陽明交通大學,博士班,2637,1781,856
113,公立,一般大學,0008,國立中央大學,學士班(日間),6275,3876,2399
113,公立,一般大學,0008,國立中央大學,碩士班(日間),3898,2543,1355
113,公立,一般大學,0008,國立中央大學,碩士在職專班,1485,901,584
113,公立,一般大學,0008,國立中央大學,博士班,905,610,295
113,公立,一般大學,0009,國立中山大學,學士班(日間),5133,3088,2045
113,公立,一般大學,0009,國立中山大學,碩士班(日間),3978,2485,1493
113,公立,一般大學,0009,國立中山大學,碩士在職專班,978,489,489
113,公立,一般大學,0009,國立中山大學,博士班,859,535,324
113,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),6061,4108,1953
113,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),503,355,148
113,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),1599,1034,565
113,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,598,326,272
113,公立,一般大學,0012,國立臺灣海洋大學,博士班,341,233,108
113,公立,一般大學,0013,國立中正大學,學士班(日間),6619,3552,3067
113,公立,一般大學,0013,國立中正大學,碩士班(日間),2908,1701,1207
113,公立,一般大學,0013,國立中正大學,碩士在職專班,1468,621,847
113,公立,一般大學,0013,國立中正大學,博士班,558,346,212
113,公立,一般大學,0014,國立高雄師範大學,學士班(日間),3879,1900,1979
113,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),1600,580,1020
113,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,1341,486,855
113,公立,一般大學,0014,國立高雄師範大學,博士班,442,220,222
113,公立,一般大學,0015,國立彰化師範大學,學士班(日間),5091,2746,2345
113,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),1767,909,858
113,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,1304,512,792
113,公立,一般大學,0015,國立彰化師範大學,博士班,462,267,195
113,公立,一般大學,0017,國立臺北大學,學士班(日間),6068,2758,3310
113,公立,一般大學,0017,國立臺北大學,學士班(進修),1711,756,955
113,公立,一般大學,0017,國立臺北大學,碩士班(日間),1543,764,779
113,公立,一般大學,0017,國立臺北大學,碩士在職專班,614,290,324
113,公立,一般大學,0017,國立臺北大學,博士班,206,138,68
113,公立,一般大學,0018,國立嘉義大學,學士班(日間),7519,3781,3738
113,公立,一般大學,0018,國立嘉義大學,學士班(進修),1522,923,599
113,公立,一般大學,0018,國立嘉義大學,碩士班(日間),1208,557,651
113,公立,一般大學,0018,國立嘉義大學,碩士在職專班,904,364,540
113,公立,一般大學,0018,國立嘉義大學,博士班,196,118,78
113,公立,一般大學,0019,國立高雄大學,學士班(日間),4760,2751,2009
113,公立,一般大學,0019,國立高雄大學,學士班(進修),128,69,59
113,公立,一般大學,0019,國立高雄大學,碩士班(日間),693,438,255
113,公立,一般大學,0019,國立高雄大學,碩士在職專班,591,368,223
113,公立,一般大學,0019,國立高雄大學,博士班,20,15,5
113,公立,一般大學,0020,國立東華大學,學士班(日間),7832,3877,3955
113,公立,一般大學,0020,國立東華大學,碩士班(日間),1489,720,769
113,公立,一般大學,0020,國立東華大學,碩士在職專班,540,182,358
113,公立,一般大學,0020,國立東華大學,博士班,405,224,181
113,公立,一般大學,0021,國立暨南國際大學,學士班(日間),4925,2408,2517
113,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),877,413,464
113,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,485,161,324
113,公立,一般大學,0021,國立暨南國際大學,博士班,348,175,173
113,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),5691,3939,1752
113,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),4298,2889,1409
113,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,837,508,329
113,公立,技專校院,0022,國立臺灣科技大學,博士班,1023,730,293
113,公立,技專校院,0023,國立雲林科技大學,學士班(日間),6792,4131,2661
113,公立,技專校院,0023,國立雲林科技大學,學士班(進修),263,128,135
113,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),2223,1436,787
113,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,749,426,323
113,公立,技專校院,0023,國立雲林科技大學,博士班,443,266,177
113,公立,技專校院,0024,國立屏東科技大學,學士班(日間),7370,4097,3273
113,公立,技專校院,0024,國立屏東科技大學,學士班(進修),1073,751,322
113,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),1069,595,474
113,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,235,135,100
113,公立,技專校院,0024,國立屏東科技大學,博士班,256,165,91
113,公立,技專校院,0025,國立臺北科技大學,五專,159,131,28
113,公立,技專校院,0025,國立臺北科技大學,學士班(日間),6404,4403,2001
113,公立,技專校院,0025,國立臺北科技大學,學士班(進修),892,747,145
113,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),3632,2605,1027
113,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,1643,1118,525
113,公立,技專校院,0025,國立臺北科技大學,博士班,763,549,214
113,公立,技專校院,0025,國立臺北科技大學,附設進院,4,4,0
113,公立,一般大學,0028,國立臺北藝術大學,七年一貫,76,34,42
113,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),1789,648,1141
113,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),1021,387,634
113,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,189,61,128
113,公立,一般大學,0028,國立臺北藝術大學,博士班,138,63,75
113,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),2419,693,1726
113,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),1822,540,1282
113,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),775,287,488
113,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,362,139,223
113,公立,一般大學,0029,國立臺灣藝術大學,博士班,161,80,81
113,公立,一般大學,0030,國立臺東大學,學士班(日間),3603,1873,1730
113,公立,一般大學,0030,國立臺東大學,學士班(進修),341,129,212
113,公立,一般大學,0030,國立臺東大學,碩士班(日間),360,149,211
113,公立,一般大學,0030,國立臺東大學,碩士在職專班,690,179,511
113,公立,一般大學,0030,國立臺東大學,博士班,54,22,32
113,公立,一般大學,0031,國立宜蘭大學,學士班(日間),4375,2808,1567
113,公立,一般大學,0031,國立宜蘭大學,學士班(進修),360,237,123
113,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),545,345,200
113,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,154,109,45
113,公立,一般大學,0031,國立宜蘭大學,博士班,13,9,4
113,公立,一般大學,0032,國立聯合大學,學士班(日間),6067,4249,1818
113,公立,一般大學,0032,國立聯合大學,學士班(進修),966,735,231
113,公立,一般大學,0032,國立聯合大學,碩士班(日間),478,335,143
113,公立,一般大學,0032,國立聯合大學,碩士在職專班,57,32,25
113,公立,一般大學,0032,國立聯合大學,博士班,26,21,5
113,公立,技專校院,0033,國立虎尾科技大學,二專(日間),80,80,0
113,公立,技專校院,0033,國立虎尾科技大學,五專,404,349,55
113,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),7747,5950,1797
113,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),2301,1872,429
113,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),1190,991,199
113,公立,技專校院,0033,國立虎尾科技大學,碩士在職專班,195,123,72
113,公立,技專校院,0033,國立虎尾科技大學,博士班,58,44,14
113,公立,技專校院,0033,國立虎尾科技大學,附設進院,1,1,0
113,公立,一般大學,0035,國立臺南藝術大學,七年一貫,160,55,105
113,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),763,286,477
113,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),554,215,339
113,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,46,8,38
113,公立,一般大學,0035,國立臺南藝術大學,博士班,73,30,43
113,公立,一般大學,0036,國立臺南大學,學士班(日間),3958,1739,2219
113,公立,一般大學,0036,國立臺南大學,學士班(進修),165,96,69
113,公立,一般大學,0036,國立臺南大學,碩士班(日間),1048,424,624
113,公立,一般大學,0036,國立臺南大學,碩士在職專班,649,207,442
113,公立,一般大學,0036,國立臺南大學,博士班,146,50,96
113,公立,一般大學,0037,國立臺北教育大學,學士班(日間),3328,1100,2228
113,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),1466,429,1037
113,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,1090,261,829
113,公立,一般大學,0037,國立臺北教育大學,博士班,155,66,89
113,公立,一般大學,0039,國立臺中教育大學,學士班(日間),3286,1141,2145
113,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),957,281,676
113,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,776,176,600
113,公立,一般大學,0039,國立臺中教育大學,博士班,111,35,76
113,公立,技專校院,0042,國立澎湖科技大學,五專,107,103,4
113,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),2018,1278,740
113,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),180,98,82
113,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),47,23,24
113,公立,技專校院,0042,國立澎湖科技大學,碩士在職專班,36,21,15
113,公立,技專校院,0043,國立勤益科技大學,二專(進修),214,160,54
113,公立,技專校院,0043,國立勤益科技大學,學士班(日間),7460,5175,2285
113,公立,技專校院,0043,國立勤益科技大學,學士班(進修),3780,3230,550
113,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),702,510,192
113,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,287,235,52
113,公立,技專校院,0043,國立勤益科技大學,博士班,67,57,10
113,公立,一般大學,0044,國立體育大學,學士班(日間),1961,1196,765
113,公立,一般大學,0044,國立體育大學,學士班(進修),78,55,23
113,公立,一般大學,0044,國立體育大學,碩士班(日間),360,212,148
113,公立,一般大學,0044,國立體育大學,碩士在職專班,242,135,107
113,公立,一般大學,0044,國立體育大學,博士班,141,95,46
113,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),3742,809,2933
113,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),642,60,582
113,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),561,99,462
113,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,182,31,151
113,公立,技專校院,0046,國立臺北護理健康大學,博士班,74,10,64
113,公立,技專校院,0047,國立高雄餐旅大學,五專,249,94,155
113,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),2772,934,1838
113,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),889,348,541
113,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),130,48,82
