學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),男,78,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),男,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,男,45,17,12,2,0,0,0,3,0,5,0,0,1,0,0,0,1,5,0,5
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),女,140,9,6,2,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),女,24,9,8,0,1,0,0,4,1,0,0,0,1,0,0,0,1,1,0,1
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,女,56,13,9,0,0,0,0,1,0,3,0,1,1,0,2,0,1,4,0,4
111,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),男,14,4,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),女,34,9,7,0,0,0,0,2,0,1,0,0,0,0,2,0,2,2,0,2
111,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,男,28,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
111,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,女,52,14,9,2,0,0,0,3,0,3,0,0,0,0,1,0,0,5,0,5
