學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
112,公立,一般大學,0001,國立政治大學,學士班(日間),9763,3928,5835
112,公立,一般大學,0001,國立政治大學,碩士班(日間),4231,1835,2396
112,公立,一般大學,0001,國立政治大學,碩士在職專班,1903,938,965
112,公立,一般大學,0001,國立政治大學,博士班,921,517,404
112,公立,一般大學,0002,國立清華大學,學士班(日間),9275,5039,4236
112,公立,一般大學,0002,國立清華大學,碩士班(日間),5867,3526,2341
112,公立,一般大學,0002,國立清華大學,碩士在職專班,1413,509,904
112,公立,一般大學,0002,國立清華大學,博士班,1636,1131,505
112,公立,一般大學,0003,國立臺灣大學,學士班(日間),17323,9652,7671
112,公立,一般大學,0003,國立臺灣大學,碩士班(日間),11328,6742,4586
112,公立,一般大學,0003,國立臺灣大學,碩士在職專班,1577,948,629
112,公立,一般大學,0003,國立臺灣大學,博士班,3654,2454,1200
112,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),8503,3846,4657
112,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),4384,1878,2506
112,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,2272,680,1592
112,公立,一般大學,0004,國立臺灣師範大學,博士班,1337,630,707
112,公立,一般大學,0005,國立成功大學,學士班(日間),12159,7451,4708
112,公立,一般大學,0005,國立成功大學,碩士班(日間),7453,4739,2714
112,公立,一般大學,0005,國立成功大學,碩士在職專班,1582,932,650
112,公立,一般大學,0005,國立成功大學,博士班,1888,1228,660
112,公立,一般大學,0006,國立中興大學,學士班(日間),8178,4621,3557
112,公立,一般大學,0006,國立中興大學,學士班(進修),828,369,459
112,公立,一般大學,0006,國立中興大學,碩士班(日間),3797,2242,1555
112,公立,一般大學,0006,國立中興大學,碩士在職專班,1794,1143,651
112,公立,一般大學,0006,國立中興大學,博士班,1000,652,348
112,公立,一般大學,0007,國立陽明交通大學,學士班(日間),8612,5528,3084
112,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),8275,5150,3125
112,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,1937,1210,727
112,公立,一般大學,0007,國立陽明交通大學,博士班,2604,1772,832
112,公立,一般大學,0008,國立中央大學,學士班(日間),6274,3852,2422
112,公立,一般大學,0008,國立中央大學,碩士班(日間),3770,2490,1280
112,公立,一般大學,0008,國立中央大學,碩士在職專班,1516,919,597
112,公立,一般大學,0008,國立中央大學,博士班,937,637,300
112,公立,一般大學,0009,國立中山大學,學士班(日間),5040,3051,1989
112,公立,一般大學,0009,國立中山大學,碩士班(日間),3415,2085,1330
112,公立,一般大學,0009,國立中山大學,碩士在職專班,1052,510,542
112,公立,一般大學,0009,國立中山大學,博士班,839,520,319
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),6111,4176,1935
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),551,380,171
112,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),1591,1044,547
112,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,634,363,271
112,公立,一般大學,0012,國立臺灣海洋大學,博士班,327,229,98
112,公立,一般大學,0013,國立中正大學,學士班(日間),6653,3555,3098
112,公立,一般大學,0013,國立中正大學,碩士班(日間),2882,1672,1210
112,公立,一般大學,0013,國立中正大學,碩士在職專班,1468,600,868
112,公立,一般大學,0013,國立中正大學,博士班,537,332,205
112,公立,一般大學,0014,國立高雄師範大學,學士班(日間),3988,1945,2043
112,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),1566,567,999
112,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,1420,496,924
112,公立,一般大學,0014,國立高雄師範大學,博士班,422,204,218
112,公立,一般大學,0015,國立彰化師範大學,學士班(日間),5044,2698,2346
112,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),1721,882,839
112,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,1371,540,831
112,公立,一般大學,0015,國立彰化師範大學,博士班,475,273,202
112,公立,一般大學,0017,國立臺北大學,學士班(日間),6000,2732,3268
112,公立,一般大學,0017,國立臺北大學,學士班(進修),1874,811,1063
112,公立,一般大學,0017,國立臺北大學,碩士班(日間),1505,753,752
112,公立,一般大學,0017,國立臺北大學,碩士在職專班,631,283,348
112,公立,一般大學,0017,國立臺北大學,博士班,195,135,60
112,公立,一般大學,0018,國立嘉義大學,學士班(日間),7527,3869,3658
112,公立,一般大學,0018,國立嘉義大學,學士班(進修),1691,1056,635
112,公立,一般大學,0018,國立嘉義大學,碩士班(日間),1259,576,683
112,公立,一般大學,0018,國立嘉義大學,碩士在職專班,921,367,554
112,公立,一般大學,0018,國立嘉義大學,博士班,184,108,76
112,公立,一般大學,0019,國立高雄大學,學士班(日間),4718,2743,1975
112,公立,一般大學,0019,國立高雄大學,學士班(進修),122,56,66
112,公立,一般大學,0019,國立高雄大學,碩士班(日間),726,477,249
112,公立,一般大學,0019,國立高雄大學,碩士在職專班,548,335,213
112,公立,一般大學,0019,國立高雄大學,博士班,31,26,5
112,公立,一般大學,0020,國立東華大學,學士班(日間),7975,3825,4150
