學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),35,12,23,16.06
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),9,3,6,23.08
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,18,6,12,17.82
111,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),3,0,3,6.25
111,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),13,0,13,24.07
111,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),8,6,2,30.77
111,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,6,3,3,22.22
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),16,9,7,9.25
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),10,6,4,17.24
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,6,5,1,24.00
111,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),5,4,1,9.26
111,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,2,2,0,10.53
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),9,5,4,5.00
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),4,2,2,21.05
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,3,1,2,16.67
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),18,15,3,9.47
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),11,8,3,22.92
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,10,7,3,33.33
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),16,2,14,5.88
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),5,1,4,7.14
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,5,1,4,20.00
111,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),30,11,19,16.04
111,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),3,2,1,13.64
111,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),2,1,1,1.22
111,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),14,1,13,9.72
111,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),1,0,1,4.35
111,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),6,3,3,5.22
111,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),11,3,8,4.01
111,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),7,3,4,3.29
111,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),0,0,0,0.00
111,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),7,0,7,5.60
111,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),3,2,1,7.32
111,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,2,2,0,22.22
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),29,6,23,8.63
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),34,15,19,34.34
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,20,9,11,38.46
111,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,4,0,4,28.57
111,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),7,1,6,14.00
111,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),0,0,0,0.00
111,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,0,0,0,0.00
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),23,10,13,5.54
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),5,5,0,5.26
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,1,0,1,10.00
111,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),25,15,10,67.57
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),8,3,5,3.72
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),6,5,1,8.33
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,8,5,3,34.78
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),28,9,19,10.07
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),5,2,3,6.49
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,3,3,0,37.50
111,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),44,29,15,80.00
111,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),19,3,16,8.96
111,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),8,2,6,8.99
111,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,1,1,0,11.11
111,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),9,0,9,19.15
111,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),8,2,6,3.72
111,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),8,2,6,13.56
111,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,3,2,1,25.00
111,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),0,0,0,0.00
111,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),11,10,1,14.29
111,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,8,5,3,24.24
111,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,1,1,0,11.11
111,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),5,2,3,12.50
111,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),3,1,2,9.68
111,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,63,33,30,90.00
111,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),73,37,36,91.25
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),11,7,4,2.24
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士班(日間),2,1,1,3.03
111,公立,一般大學,0001,國立政治大學,03143043,地政學系,博士班,1,1,0,9.09
111,公立,一般大學,0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,碩士班(日間),0,0,0,0.00
111,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),15,8,7,19.74
111,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,15,11,4,42.86
111,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),5,1,4,7.58
111,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),51,9,42,21.34
111,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),37,11,26,56.06
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),48,6,42,12.28
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院博士班,博士班,21,11,10,51.22
111,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),39,8,31,17.89
